bundle_rating_id,scorer_rating_id,bundle_name,position,shuffle_seed,nonce_sha256,media_sha256
r_ac9fc010141e13568d29,sa3cal_007_bfaa17bc9ee8,t5_sa3_calibration,35,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,40399ce7af4c90df338a2c95b388c099e4aef85aa2eaf3d0dcabd8144883d9c4
r_4cd95fedd367e3ba3d62,sa3cal_014_58cd634245d7,t5_sa3_calibration,36,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,b4ce2543806999ed8b9f2dbfe4e2ad1f76cb9a3231dfadedce0055ae7494cfff
r_b743c64f43a1b37042db,sa3cal_058_267d94cef779,t5_sa3_calibration,37,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,12b4e95bad238925767fb346b06b76b8bdcff82bd5f68ee3440ce504023cee59
r_2cbab3a39350f871b235,sa3cal_039_06dc54617ae4,t5_sa3_calibration,38,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,dd7c1f905c96c153bb6c064a455d397701bcdff536f77b1ada0010c414c1736d
r_b7216134e6a6e87d2a35,sa3cal_009_7bb8452a9887,t5_sa3_calibration,39,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,b0dca6dab581ddb753ecc591ac1f14ed1989142919ce463ba163c27c3ba50e75
r_af6fd469ad3f67648637,sa3cal_018_c5af7c6fc670,t5_sa3_calibration,40,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,63522a90dc4235e57eaf643454542a4d19af6d3f08b63acb59932e8ead6f12b6
r_c0828adcd184f0e82bb2,sa3cal_045_a1c0e8035f2e,t5_sa3_calibration,41,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6fd87fa8faf378bb94d3f058b2cfecdb170a500d7f67732385d63f6d7fe9a90b
r_882d2aa4a9dda3247c4b,sa3cal_022_075ce3d21a93,t5_sa3_calibration,42,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,80983be8ada3c6a592e6de99631ec712dc878e0859c2ddaf0d9782d59d8124a1
r_8067bda574d02325e897,sa3cal_047_d83a2d9e9d98,t5_sa3_calibration,43,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,77b97d598a85bfcce454179518e1422f6639ad30ad883fc97391b7fe80be8cb4
r_523f55a4e8cb9dcd09d9,sa3cal_032_0374d0940076,t5_sa3_calibration,44,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,efd41cdb3dda2fc2011ebb41303dd9563de591d5c115ca9d0438c61237fba6a4
