flac,control_category,prompt_id,requested_vocal,seed,vocal_energy_ratio,near_silent,present,type_correct,panns_vocal,common,semantic,aesthetic_pq,lyric
keep/ctlB_jazz_instr/seed6_2026800006.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800006,3e-05,False,0,1,0.01337,2.0833546285865205,0.5288461446762085,7.290541648864746,1.0
keep/ctlB_jazz_instr/seed7_2026800007.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800007,2e-05,False,0,1,0.01436,2.361154089635654,0.5192213654518127,7.373417377471924,1.0
keep/ctlB_lofi_instr/seed0_2027100000.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100000,0.20944,False,1,0,0.18847,2.2474900097589834,0.39335983991622925,6.266647815704346,1.0
keep/ctlB_lofi_instr/seed1_2027100001.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100001,0.0,False,0,1,0.02754,2.1931783500486586,0.3860163986682892,7.337381362915039,1.0
keep/ctlB_lofi_instr/seed2_2027100002.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100002,0.17766,False,0,1,0.3328,2.3303561756784226,0.28784745931625366,6.867194652557373,1.0
keep/ctlB_lofi_instr/seed3_2027100003.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100003,0.09532,False,0,1,0.18251,2.2928926420217404,0.38255774974823,6.922842979431152,1.0
keep/ctlB_lofi_instr/seed4_2027100004.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100004,0.10277,False,0,1,0.0906,2.0530192378456658,0.3649992048740387,6.045907497406006,1.0
keep/ctlB_lofi_instr/seed5_2027100005.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100005,1e-05,False,0,1,0.03088,2.241497565108506,0.5655813217163086,7.276371955871582,1.0
keep/ctlB_lofi_instr/seed6_2027100006.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100006,0.0,False,0,1,0.0194,2.165537200795757,0.43200722336769104,6.610583305358887,1.0
keep/ctlB_lofi_instr/seed7_2027100007.flac,B_trivial_instrumental,ctlB_lofi_instr,0,2027100007,0.20635,False,1,0,0.15618,2.2822016131028753,0.12306710332632065,6.866428852081299,1.0
