audit_index,rating_id,set_bucket,expected_demucs_label,audio_path,scoring_seed,sample_rate,gate_ratio,canonical_ratio,absolute_ratio_delta,gate_near_silent,canonical_near_silent,gate_label,canonical_label,label_agree
128,aprime_0568_e10f7a4a5f36,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0568_e10f7a4a5f36.flac,2922759162,48000,0.835661000007,0.835661053658,0.000000053651,0,0,1,1,1
129,aprime_0009_29c5a77f0573,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0009_29c5a77f0573.wav,567810321,48000,0.184300696452,0.184300705791,0.000000009338,0,0,1,1,1
130,aprime_0502_95ced68c584f,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0502_95ced68c584f.wav,1790447700,48000,0.158537008064,0.158537015319,0.000000007255,0,0,0,0,1
131,aprime_0037_7370940bf1a8,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0037_7370940bf1a8.flac,104947478,48000,0.061354501765,0.061354495585,0.000000006180,0,0,0,0,1
132,aprime_0666_71116042238a,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0666_71116042238a.flac,2227021680,48000,0.129707075069,0.129707083106,0.000000008037,0,0,0,0,1
133,aprime_0213_5c3b048f3226,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0213_5c3b048f3226.flac,3872973419,48000,0.790815718779,0.790815711021,0.000000007757,0,0,1,1,1
134,aprime_0620_236a995d6151,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0620_236a995d6151.wav,2350023702,48000,0.180017657213,0.180017665029,0.000000007815,0,0,1,1,1
135,aprime_0092_0f4aaa6c5077,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0092_0f4aaa6c5077.wav,2998205722,48000,0.176432864298,0.176432847977,0.000000016321,0,0,0,0,1
136,aprime_0206_3e7faf12cf26,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0206_3e7faf12cf26.flac,355290041,48000,0.031236484936,0.031236482784,0.000000002152,0,0,0,0,1
137,aprime_0238_1112256fe502,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0238_1112256fe502.flac,1914584748,48000,0.119313558942,0.119313545525,0.000000013417,0,0,0,0,1
138,aprime_0005_9d75ac5a9a2f,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0005_9d75ac5a9a2f.flac,1290333932,48000,0.583813306710,0.583813309669,0.000000002959,0,0,1,1,1
139,aprime_0072_8bbd84c662c3,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0072_8bbd84c662c3.wav,2802445245,48000,0.181696381998,0.181696370244,0.000000011754,0,0,1,1,1
140,aprime_0366_9e753224479c,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0366_9e753224479c.wav,1711747477,48000,0.167643355749,0.167643368244,0.000000012495,0,0,0,0,1
141,aprime_0599_fd0ddd8ffc16,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0599_fd0ddd8ffc16.flac,2297176316,48000,0.008880539383,0.008880538866,0.000000000517,0,0,0,0,1
142,aprime_0097_06b0ebb90ff5,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0097_06b0ebb90ff5.flac,1947111274,48000,0.102815500304,0.102815508842,0.000000008539,0,0,0,0,1
143,aprime_0189_bcdf8b205064,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0189_bcdf8b205064.flac,3711569264,48000,0.248495931538,0.248495921493,0.000000010045,0,0,1,1,1
144,aprime_0560_b05493151a2a,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0560_b05493151a2a.wav,2258516118,48000,0.270870631791,0.270870625973,0.000000005819,0,0,1,1,1
145,aprime_0648_b632fdc8b8b2,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0648_b632fdc8b8b2.wav,4210334781,48000,0.166837563946,0.166837573051,0.000000009105,0,0,0,0,1
146,aprime_0356_e96e6b9403ea,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0356_e96e6b9403ea.flac,651083785,48000,0.032464363298,0.032464355230,0.000000008067,0,0,0,0,1
147,aprime_0576_f2547282e77b,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0576_f2547282e77b.flac,2500963501,48000,0.123733065593,0.123733066022,0.000000000430,0,0,0,0,1
148,aprime_0672_0428636b4344,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0672_0428636b4344.flac,3223591012,48000,0.483821477290,0.483821451664,0.000000025627,0,0,1,1,1
149,aprime_0126_a6a45628d4c6,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0126_a6a45628d4c6.wav,1849507550,48000,0.429154841162,0.429154843092,0.000000001930,0,0,1,1,1
150,aprime_0490_55ab8e50a996,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0490_55ab8e50a996.wav,4122490559,48000,0.102211896364,0.102211900055,0.000000003691,0,0,0,0,1
151,aprime_0418_381620104ef8,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0418_381620104ef8.flac,1557629253,48000,0.042208960224,0.042208958417,0.000000001806,0,0,0,0,1
152,aprime_0285_912f0ed93c92,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0285_912f0ed93c92.flac,3507336368,48000,0.011732789265,0.011732788756,0.000000000508,0,0,0,0,1
153,aprime_0463_6889b6d9c510,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0463_6889b6d9c510.flac,459385764,48000,0.235885705490,0.235885694623,0.000000010867,0,0,1,1,1
154,aprime_0089_0605fcbde128,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0089_0605fcbde128.wav,3723037856,48000,0.191273667352,0.191273659468,0.000000007884,0,0,1,1,1
155,aprime_0651_ca2b2105628f,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0651_ca2b2105628f.wav,1761689697,48000,0.174343666414,0.174343660474,0.000000005940,0,0,0,0,1
156,aprime_0474_0952ccd5b41b,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0474_0952ccd5b41b.flac,4089866991,48000,0.070084290577,0.070084288716,0.000000001861,0,0,0,0,1
157,aprime_0227_8bc50d96e173,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0227_8bc50d96e173.flac,2579588840,48000,0.078071501164,0.078071497381,0.000000003783,0,0,0,0,1
158,aprime_0575_1531665daad5,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0575_1531665daad5.flac,2406125953,48000,0.181211632347,0.181211650372,0.000000018024,0,0,1,1,1
