source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,vocal_energy_ratio,panns_vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0127/a3_r0_t05_seed2026445005.flac,PH2_ONLINE,online_run,held_out_0127,arm3,3,0,5,2026445005,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,9208192,aprime_0276,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0276_adb0b72145b1.flac,9208192,a_prime_500_judge_sample,da4cd2248a43e74a7c2d2490ac1128a0ba0dc07a48e596a3387197dd89d23761,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0204/none_s0_2028700000.flac,ATLAS,bon256,held_out_0204,none,,,,2028700000,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,3666465,aprime_0277,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0277_7aaf3676a240.flac,3666465,a_prime_500_judge_sample,d280f448535018c49349aaa103dce2b26fe25192b28da05a160d5290addef981,0.06831,0.13203
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0117/I_strong_s80_2027805080.flac,ATLAS,istrong_instr,held_out_0117,I_strong,,,,2027805080,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/istrong_instr_w0.jsonl,4565725,aprime_0278,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0278_8db3fffe0350.flac,4565725,a_prime_500_judge_sample,0513dfe79c327be10a5ec0d8b9cbaddac2df220403136a5075c252dbb2227f94,0.15299,0.23134
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0021/none_s98_2026600098.flac,ATLAS,bon256,held_out_0021,none,,,,2026600098,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,7890652,aprime_0279,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0279_8756e91b9964.flac,7890652,a_prime_500_judge_sample,bb1a29af24b4948ff1b588dcf7a005870ec186ee7706d58d12d5dd2e70753ad3,0.04508,0.39147
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0069/none_s290_2027300290.flac,ATLAS,bon256,held_out_0069,none,,,,2027300290,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w2.jsonl,7240690,aprime_0280,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0280_53d4eb31d7ac.flac,7240690,a_prime_500_judge_sample,bf0d6133075347ab8594f33a0db99d112fa0751080891a037024d2d6701bae2f,0.07022,0.09059
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0001/none_s320_2026200320.flac,ATLAS,bon256,held_out_0001,none,,,,2026200320,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,3084882,aprime_0281,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0281_7b5b674ef581.flac,3084882,a_prime_500_judge_sample,df3f8161c8e84c347becf246cae77b3f936d9dace7171b153c39cf688353226e,0.1368,0.57393
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0015/none_s68_2027100068.flac,ATLAS,bon256_general,held_out_0015,none,,,,2027100068,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w4.jsonl,4495245,aprime_0282,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0282_dbfa28c4fd7e.flac,4495245,a_prime_500_judge_sample,808490a3ad5e1cade7d0d4f42377b4da556edd2f691d81dae2aab3416623d91a,0.07362,0.3903
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0015/none_s175_2027100175.flac,ATLAS,bon256_general,held_out_0015,none,,,,2027100175,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w7.jsonl,4298727,aprime_0283,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0283_37b8989d3cf5.flac,4298727,a_prime_500_judge_sample,326066cc0d78ef2d3db5e90cc89e13961a29fe2138457922c37db11daadb32df,0.06081,0.07093
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0013/none_s152_2026900152.flac,ATLAS,bon256_general,held_out_0013,none,,,,2026900152,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w0.jsonl,7006804,aprime_0284,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0284_d36583ce79b2.flac,7006804,a_prime_500_judge_sample,d47cbf3a88196451302def2e7c2b4d35c6576affcecb67d7291ba6af51e13aff,0.09836,0.50446
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0014/none_s70_2027000070.flac,ATLAS,bon256_general,held_out_0014,none,,,,2027000070,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w6.jsonl,4935139,aprime_0285,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0285_6f23425b0768.flac,4935139,a_prime_500_judge_sample,5668df3bca9cc2c432f0fd998e07211d82d8b616b329d0fdf64ec2f8c2c1ce62,0.08769,0.60398
