media_sha256,demucs_score,panns_score,demucs_present,panns_present,present,near_silent,backend_id
c77b3f3462db5c1eeacc50077c8a12aea511da4d3f04cb6edec95dfd1385251f,0.40215250849723816,0.08511340618133545,1,1,1,False,frozen-w2-demucs-panns-and
cbe63aecec3a662007fdf395a53b01394502fa4d19fef3dbae93e589ae045287,0.21775078773498535,0.5620399117469788,1,1,1,False,frozen-w2-demucs-panns-and
ce59e9ada624d8c6a06c3b84dc0fb58940519a48ca9c55815156644c1f271bfa,0.0008832038729451597,0.014052247628569603,0,0,0,False,frozen-w2-demucs-panns-and
cebd9098289fa966e3937f9867b8f5018282bbb7ed66c90e5fda0b4fb3633e8b,0.2831289768218994,0.18702375888824463,1,1,1,False,frozen-w2-demucs-panns-and
d464c34188f40a3020ceba4a04e520bf51a191cfd1a600af867aeaaa92b41687,0.03497175872325897,0.018751110881567,0,0,0,False,frozen-w2-demucs-panns-and
d4f815c83a4665cc23552e8343735b1b54973a33fcf85d94e1e0bd4edc727db7,0.0021543465554714203,0.013597388751804829,0,0,0,False,frozen-w2-demucs-panns-and
d53d7e70b2718ca939defab68e89a833935b72dbf674752deaed6a073d13beec,0.43483489751815796,0.1406499147415161,1,1,1,False,frozen-w2-demucs-panns-and
da3fb2f519344c254c5b24ff52adcded8ac3aa43811da80c8c4968e95cdd71f7,0.0005317159229889512,0.01649441011250019,0,0,0,False,frozen-w2-demucs-panns-and
da4cd2248a43e74a7c2d2490ac1128a0ba0dc07a48e596a3387197dd89d23761,6.89875287207542e-06,0.019286122173070908,0,0,0,False,frozen-w2-demucs-panns-and
df88299d85702dcb4021ec59ad7bbba1554a64ecd6629cc23d75c700b80fcd5d,0.04506845027208328,0.254089891910553,1,1,1,False,frozen-w2-demucs-panns-and
e0ae029cbb950d6fbf557404f54d275daa5614b3130a58eebb0c8bf55fc29a49,1.7162215954158455e-05,0.016537651419639587,0,0,0,False,frozen-w2-demucs-panns-and
e516176af28e373cd82e8b5cf4fa42ac7e059c4154d1e90ce615e285a424a713,0.07545594871044159,0.09758368134498596,1,1,1,False,frozen-w2-demucs-panns-and
ea2ace4a783a4fe7883d823d955e8a44e0a0c564c9df4e9e9f52fcf3280554a9,0.48521268367767334,0.15966421365737915,1,1,1,False,frozen-w2-demucs-panns-and
ebedcd7886c1c483cb225457df4b592c30f7bf0926978b3a4d0267cf59f4a8b9,0.00019968159904237837,0.03373219445347786,0,1,0,False,frozen-w2-demucs-panns-and
eef5896c918bb7623715603dfb04c6193f4acf30c69e13846c0458c5a25edb5c,0.0067962403409183025,0.014473880641162395,0,0,0,False,frozen-w2-demucs-panns-and
f31fbc0d08cee5f503ef776735cb8c7edf1bb7c84c5eb34841d561ccb7d2d6b6,0.5753649473190308,0.10533139109611511,1,1,1,False,frozen-w2-demucs-panns-and
f442f18d83919a910cebefd5b41f29c599f635011e262c47258dfa5bbbed6207,0.2212354689836502,0.08122105151414871,1,1,1,False,frozen-w2-demucs-panns-and
f5ea012f11e5e686997d261a37b1a6c2998f8301b0850818c384956099581522,0.22087572515010834,0.34966251254081726,1,1,1,False,frozen-w2-demucs-panns-and
f76ccc3f02e4f3abe9c5a11196d603d165917ef5726b8b41299f24487495778a,0.031314488500356674,0.40606555342674255,0,1,0,False,frozen-w2-demucs-panns-and
f8f054a10f552eb4686ff07c24bae950de59ff2f56465c332eac391b3a64f803,0.14146088063716888,0.11039818823337555,1,1,1,False,frozen-w2-demucs-panns-and
f904e589555a382c34204b2c70b4b681b5ab48812808766d76e3612baf0d1cb2,0.22669126093387604,0.0832100361585617,1,1,1,False,frozen-w2-demucs-panns-and
fd9d00efad989a7b332f9768f9cf809e7433308396f8f4d60f59de00bd413fb8,7.248196197906509e-06,0.01741274818778038,0,0,0,False,frozen-w2-demucs-panns-and
fe235ff6c71a62a59b86aa9e976a00af8ffc50553d48285932f90718ffb4a46c,0.27638328075408936,0.2984307110309601,1,1,1,False,frozen-w2-demucs-panns-and
fe4767d4dfb1247a50037a5c980d1dbb9658090640f3748fe2d656d608313e06,0.17762883007526398,0.16084349155426025,1,1,1,False,frozen-w2-demucs-panns-and
