media_sha256,transcript_nonempty,transcript_confidence,transcript_chars,transcript_sha256,segment_count,backend_id
144a764c31217dcbfe23fd8320891be63cb2c0dab010a56c9b14c87160900cbf,1,0.6218960155159529,118,742935573b53ee36561a1fb27cb17bcefa32b5c082ca031045f4f1b9fdc884f0,4,openai-whisper-large-v3
15161bf19ca3ca49a751fa49fa9550eacf7908345f0c98de84bebdc54b8e33ce,1,0.6428172376137652,108,c38e2d41c5e47dafd3158ddefe6ade77ed4b04c2bda58e8d87ce606404872e56,3,openai-whisper-large-v3
165cfe311ace97f07588de4e2f6d74a8fa08b6951d8bc6e452d6601a2ee2fdd6,1,0.19530155762430396,383,9ce0cac7e1382c9827e9ac2070474c19b9aab74cbc9a6389d92af4d297c01062,78,openai-whisper-large-v3
166ddb24d974600483d9fc3898058760bd29cd0273827dbe6845f9c79e5e0f42,1,0.12256752523286461,7,e5d3891501d0164a97466bbafa29a776519c31434abe541e5eca90be6d8c9b8e,1,openai-whisper-large-v3
16efe2d3dcc4b7dff1fd0782303ad4c77fbe81bb0220e22f7f6450f74d6a7d83,1,0.2575776238624934,88,2b1c6b78e895975cdbb7b8047e9b3c778fa5bc7c52b23c095ab25911efe4878c,4,openai-whisper-large-v3
1722830beca5840d75087bcb17121bd7cc9d3f63cd3c48b623c3ac857663734f,0,0.0,0,,0,openai-whisper-large-v3
17672de94fead7020102e4e79f105f836963c27788de8e88a12d3c1d6c05b1c8,1,0.3041482737134872,29,789d49413ecee58ccef4b3f2cd52a70ab8ac86f85e54704f7bec29d91e63407f,2,openai-whisper-large-v3
17b10dba7671dec36d9d4443c9476ba9a7e56374d7b70b44621062c11c5628fc,0,0.0,0,,0,openai-whisper-large-v3
17e8a988541c1e161cc1911b7a3ed44534d933036b3a7a9ae80ba75d057a3944,1,0.6360839539153214,145,51ea354ec4fdf1eece5808b61613f4b4209803ceb0746ea80032c97766a2f324,7,openai-whisper-large-v3
181c0377746360d5ed6cc33ebadedafdf704bc3cd763b7f0e765ed4673f429c6,1,0.5991864123371832,137,918581aabfff277717859a75dbaa932673ba4b83dbda3b3783040a1e13239940,4,openai-whisper-large-v3
183882d1edd62895796a1d92ddb201b4ac314997a44ecda5e6639fee68b54e6a,1,0.29815080780654263,40,b1ee9987fb1b59b5a80a5024f04b63f97898c6f234177c816d57592e35b8ca11,2,openai-whisper-large-v3
1854db00fe67390a76a58f3b62658b972b26c399a07e0fd6061f8120b468a5e9,1,0.6892731410922799,119,ef534b42d34dfeb206d24be681e192ef3616c259ba5694c403828d3a6bb8d9c6,4,openai-whisper-large-v3
18933db51229a66f12f3faf8731b7ae191e6fbc71767e3682a6a34f8496fa5b4,1,0.32328771820389945,185,4cf11a3d2f69148117dd448ccf78034c686e1a5571eef3f05b9764aca4c63491,9,openai-whisper-large-v3
19a48c8bf8da15bfe745ed244cab18f4bf5c3188d9a1589307dd8a13066a0e83,1,0.5643852667472643,248,1d6d3dddbb067b79094274954b83f8d5df5d0e3d23d395ba111af6a746ea7612,7,openai-whisper-large-v3
19d6bfd44f2db2920f893095e6b478d428feff877d0af933eb52c2952ae83883,1,0.3322947820819797,432,ea99add9fe6cddf1e052ee7dd602a5cdb66d0a908458624ff07aa6c6b49bce0e,19,openai-whisper-large-v3
