clip_id,manifest_index,prompt_id,stratum,prompt_text,replicate,seed,output_path
exit1_uncond_110,110,empty_06,empty,,14,2036000110,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_110_seed2036000110.flac
exit1_uncond_111,111,empty_06,empty,,15,2036000111,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_111_seed2036000111.flac
exit1_uncond_112,112,empty_07,empty,,0,2036000112,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_112_seed2036000112.flac
exit1_uncond_113,113,empty_07,empty,,1,2036000113,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_113_seed2036000113.flac
exit1_uncond_114,114,empty_07,empty,,2,2036000114,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_114_seed2036000114.flac
exit1_uncond_115,115,empty_07,empty,,3,2036000115,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_115_seed2036000115.flac
exit1_uncond_116,116,empty_07,empty,,4,2036000116,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_116_seed2036000116.flac
exit1_uncond_117,117,empty_07,empty,,5,2036000117,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_117_seed2036000117.flac
exit1_uncond_118,118,empty_07,empty,,6,2036000118,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_118_seed2036000118.flac
exit1_uncond_119,119,empty_07,empty,,7,2036000119,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_119_seed2036000119.flac
exit1_uncond_120,120,empty_07,empty,,8,2036000120,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_120_seed2036000120.flac
exit1_uncond_121,121,empty_07,empty,,9,2036000121,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_121_seed2036000121.flac
exit1_uncond_122,122,empty_07,empty,,10,2036000122,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_122_seed2036000122.flac
exit1_uncond_123,123,empty_07,empty,,11,2036000123,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_123_seed2036000123.flac
exit1_uncond_124,124,empty_07,empty,,12,2036000124,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_124_seed2036000124.flac
exit1_uncond_125,125,empty_07,empty,,13,2036000125,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_125_seed2036000125.flac
exit1_uncond_126,126,empty_07,empty,,14,2036000126,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_126_seed2036000126.flac
exit1_uncond_127,127,empty_07,empty,,15,2036000127,analysis_exit1/unconditional_run_20260716/audio/empty_07/exit1_uncond_127_seed2036000127.flac
exit1_uncond_128,128,neutral_00,neutral_text,music,0,2036000128,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_128_seed2036000128.flac
exit1_uncond_129,129,neutral_00,neutral_text,music,1,2036000129,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_129_seed2036000129.flac
exit1_uncond_130,130,neutral_00,neutral_text,music,2,2036000130,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_130_seed2036000130.flac
exit1_uncond_131,131,neutral_00,neutral_text,music,3,2036000131,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_131_seed2036000131.flac
exit1_uncond_132,132,neutral_00,neutral_text,music,4,2036000132,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_132_seed2036000132.flac
exit1_uncond_133,133,neutral_00,neutral_text,music,5,2036000133,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_133_seed2036000133.flac
exit1_uncond_134,134,neutral_00,neutral_text,music,6,2036000134,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_134_seed2036000134.flac
exit1_uncond_135,135,neutral_00,neutral_text,music,7,2036000135,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_135_seed2036000135.flac
exit1_uncond_136,136,neutral_00,neutral_text,music,8,2036000136,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_136_seed2036000136.flac
exit1_uncond_137,137,neutral_00,neutral_text,music,9,2036000137,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_137_seed2036000137.flac
