dataset,condition,stratum,selection_bin,prompt_id,successes,attempts,p_hat,wilson_ci95_low,wilson_ci95_high,inverse_p_if_observed,restricted_draws_B16,restricted_draws_B128,restricted_draws_B1024,zero_success_notation,zero_success_p_upper95,wording_constraint
atlas_baseline,none,vocal,all,held_out_0199,7,512,0.013671875,0.006638096992250363,0.0279490004882098,73.14285714285714,14.459548056012368,60.58506427931419,73.14280192200869,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,vocal,all,held_out_0204,61,512,0.119140625,0.09387748677973777,0.1500762642591768,8.39344262295082,7.290772974908084,8.393441878248886,8.39344262295082,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,vocal,all,held_out_0240,14,512,0.02734375,0.016356725239303357,0.04537049399873423,36.57142857142857,13.102566432259266,35.51960525555171,36.57142857141145,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,vocal,all,held_out_0254,21,512,0.041015625,0.02698094895608158,0.061886392039533444,24.38095238095238,11.906107197751851,24.26642043145993,24.38095238095238,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0001,114,128,0.890625,0.8247655486183226,0.9337212042929989,1.1228070175438596,1.1228070175438591,1.1228070175438596,1.1228070175438596,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0008,101,128,0.7890625,0.7104932846593583,0.8507869124950196,1.2673267326732673,1.267326732653798,1.2673267326732673,1.2673267326732673,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0016,114,128,0.890625,0.8247655486183226,0.9337212042929989,1.1228070175438596,1.1228070175438591,1.1228070175438596,1.1228070175438596,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0017,106,128,0.828125,0.7534600319269827,0.8836688405185272,1.2075471698113207,1.2075471698106204,1.2075471698113207,1.2075471698113207,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0021,118,128,0.921875,0.8621530681952095,0.9570126249490177,1.0847457627118644,1.0847457627118644,1.0847457627118644,1.0847457627118644,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0024,85,128,0.6640625,0.5785182090110383,0.7400462272117168,1.5058823529411764,1.5058823133200498,1.5058823529411764,1.5058823529411764,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0045,88,128,0.6875,0.6027289441827964,0.7613446972146379,1.4545454545454546,1.4545454425137365,1.4545454545454546,1.4545454545454546,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0069,107,128,0.8359375,0.7621819239629298,0.8901166835408066,1.1962616822429906,1.196261682242661,1.1962616822429906,1.1962616822429906,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0119,113,128,0.8828125,0.8156338413466524,0.9276831765064426,1.1327433628318584,1.132743362831857,1.1327433628318584,1.1327433628318584,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0134,111,128,0.8671875,0.7975798330550461,0.9153977146815961,1.1531531531531531,1.1531531531531425,1.1531531531531531,1.1531531531531531,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0142,92,128,0.71875,0.6353658087171574,0.7893867729131827,1.391304347826087,1.3913043456935201,1.391304347826087,1.391304347826087,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0166,88,128,0.6875,0.6027289441827964,0.7613446972146379,1.4545454545454546,1.4545454425137365,1.4545454545454546,1.4545454545454546,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0193,51,128,0.3984375,0.3177758511189852,0.4850175931240712,2.5098039215686274,2.509065793225539,2.5098039215686274,2.5098039215686274,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0199,85,128,0.6640625,0.5785182090110383,0.7400462272117168,1.5058823529411764,1.5058823133200498,1.5058823529411764,1.5058823529411764,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0204,111,128,0.8671875,0.7975798330550461,0.9153977146815961,1.1531531531531531,1.1531531531531425,1.1531531531531531,1.1531531531531531,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0240,93,128,0.7265625,0.6435923144931466,0.7963300021954198,1.3763440860215055,1.3763440846773292,1.3763440860215055,1.3763440860215055,,,never convert a zero-success row to expected draws > attempts
atlas_v3,V3,vocal,all,held_out_0254,107,128,0.8359375,0.7621819239629298,0.8901166835408066,1.1962616822429906,1.196261682242661,1.1962616822429906,1.1962616822429906,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0035,28,128,0.21875,0.15590524094938307,0.29798429695446543,4.571428571428571,4.483386059685155,4.571428571428485,4.571428571428571,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0041,62,128,0.484375,0.39952298025969557,0.5701375496238515,2.064516129032258,2.064464586976734,2.064516129032258,2.064516129032258,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0043,31,128,0.2421875,0.17618737999242146,0.3232113630861063,4.129032258064516,4.080185414001423,4.129032258064515,4.129032258064516,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0058,44,128,0.34375,0.2671015766811227,0.4295037221543487,2.909090909090909,2.9056484692785642,2.909090909090909,2.909090909090909,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0080,50,128,0.390625,0.31047019100495765,0.4771535181798723,2.56,2.5590744623417847,2.56,2.56,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0088,42,128,0.328125,0.25282984471663306,0.41343598400238546,3.0476190476190474,3.042364003279106,3.0476190476190474,3.0476190476190474,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0094,40,128,0.3125,0.23865530278536204,0.39727105581720357,3.2,3.192028992489087,3.2,3.2,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0108,63,128,0.4921875,0.4070774941965585,0.5777527707452151,2.0317460317460316,2.0317063012843155,2.0317460317460316,2.0317460317460316,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0117,21,128,0.1640625,0.1098833164591933,0.23781807603707017,6.095238095238095,5.748683546569351,6.095238094572458,6.095238095238095,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0153,71,128,0.5546875,0.4682433949005831,0.637944750507002,1.8028169014084507,1.8028125902915706,1.8028169014084507,1.8028169014084507,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0170,44,128,0.34375,0.2671015766811227,0.4295037221543487,2.909090909090909,2.9056484692785642,2.909090909090909,2.909090909090909,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0236,64,128,0.5,0.41465224626050723,0.5853477537394928,2.0,1.999969482421875,2.0,2.0,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0238,40,128,0.3125,0.23865530278536204,0.39727105581720357,3.2,3.192028992489087,3.2,3.2,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0251,63,128,0.4921875,0.4070774941965585,0.5777527707452151,2.0317460317460316,2.0317063012843155,2.0317460317460316,2.0317460317460316,,,never convert a zero-success row to expected draws > attempts
atlas_istrong,I_strong,instrumental,all,held_out_0253,37,128,0.2890625,0.21758399767802578,0.3728331557498606,3.4594594594594597,3.4447257870876324,3.4594594594594597,3.4594594594594597,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0035,16,64,0.25,0.16014926530970577,0.36816276458669694,4.0,3.959909616969526,3.9999999999999996,4.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0041,32,64,0.5,0.3810209474394701,0.6189790525605299,2.0,1.999969482421875,2.0,2.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0043,15,64,0.234375,0.1474989559392414,0.35133257582568644,4.266666666666667,4.207190028639219,4.26666666666666,4.266666666666667,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0058,28,64,0.4375,0.3229400970440308,0.5591379104300699,2.2857142857142856,2.2854846801697812,2.2857142857142856,2.2857142857142856,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0080,26,64,0.40625,0.2945690924971961,0.5285479187139549,2.4615384615384617,2.4609511553349894,2.4615384615384617,2.4615384615384617,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0088,25,64,0.390625,0.2805556918824008,0.5130808211972754,2.56,2.5590744623417847,2.56,2.56,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0094,21,64,0.328125,0.22570557904469185,0.45000894150908505,3.0476190476190474,3.042364003279106,3.0476190476190474,3.0476190476190474,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0108,37,64,0.578125,0.456100315400829,0.6913021752565451,1.7297297297297298,1.7297279882481196,1.7297297297297298,1.7297297297297298,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0117,8,64,0.125,0.06472242663330453,0.22774561821129946,8.0,7.05546330383001,7.999999697920834,8.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0153,33,64,0.515625,0.39581601478580125,0.6336644833456737,1.9393939393939394,1.9393761330994486,1.9393939393939394,1.9393939393939394,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0170,27,64,0.421875,0.30869782474345486,0.5438996845991709,2.3703703703703702,2.3700012532312433,2.3703703703703702,2.3703703703703702,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0236,33,64,0.515625,0.39581601478580125,0.6336644833456737,1.9393939393939394,1.9393761330994486,1.9393939393939394,1.9393939393939394,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0238,22,64,0.34375,0.23923142078443355,0.46596359790081815,2.909090909090909,2.9056484692785642,2.909090909090909,2.909090909090909,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0251,23,64,0.359375,0.25288402291451745,0.48179149390220904,2.782608695652174,2.7803693854344527,2.782608695652174,2.782608695652174,,,never convert a zero-success row to expected draws > attempts
stage3,instr_both,instrumental,all,held_out_0253,16,64,0.25,0.16014926530970577,0.36816276458669694,4.0,3.959909616969526,3.9999999999999996,4.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0035,23,64,0.359375,0.25288402291451745,0.48179149390220904,2.782608695652174,2.7803693854344527,2.782608695652174,2.782608695652174,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0041,28,64,0.4375,0.3229400970440308,0.5591379104300699,2.2857142857142856,2.2854846801697812,2.2857142857142856,2.2857142857142856,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0043,16,64,0.25,0.16014926530970577,0.36816276458669694,4.0,3.959909616969526,3.9999999999999996,4.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0058,18,64,0.28125,0.18593372333727837,0.40133930282207403,3.5555555555555554,3.5375190171015394,3.5555555555555554,3.5555555555555554,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0080,20,64,0.3125,0.21231066539482046,0.4339233570274815,3.2,3.192028992489087,3.2,3.2,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0088,24,64,0.375,0.2666598017882464,0.497496213159955,2.6666666666666665,2.6652210637700193,2.6666666666666665,2.6666666666666665,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0094,18,64,0.28125,0.18593372333727837,0.40133930282207403,3.5555555555555554,3.5375190171015394,3.5555555555555554,3.5555555555555554,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0108,27,64,0.421875,0.30869782474345486,0.5438996845991709,2.3703703703703702,2.3700012532312433,2.3703703703703702,2.3703703703703702,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0117,20,64,0.3125,0.21231066539482046,0.4339233570274815,3.2,3.192028992489087,3.2,3.2,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0153,23,64,0.359375,0.25288402291451745,0.48179149390220904,2.782608695652174,2.7803693854344527,2.782608695652174,2.782608695652174,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0170,17,64,0.265625,0.17296379074222612,0.38482873728565137,3.764705882352941,3.7377646662293893,3.764705882352941,3.764705882352941,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0236,34,64,0.53125,0.41072087051471007,0.6482401257482395,1.8823529411764706,1.8823427138634405,1.8823529411764706,1.8823529411764706,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0238,14,64,0.21875,0.13502319406719474,0.3343278395662582,4.571428571428571,4.483386059685155,4.571428571428485,4.571428571428571,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0251,16,64,0.25,0.16014926530970577,0.36816276458669694,4.0,3.959909616969526,3.9999999999999996,4.0,,,never convert a zero-success row to expected draws > attempts
stage3,instr_sampler,instrumental,all,held_out_0253,33,64,0.515625,0.39581601478580125,0.6336644833456737,1.9393939393939394,1.9393761330994486,1.9393939393939394,1.9393939393939394,,,never convert a zero-success row to expected draws > attempts
stage3,instr_text,instrumental,all,held_out_0035,17,64,0.265625,0.17296379074222612,0.38482873728565137,3.764705882352941,3.7377646662293893,3.764705882352941,3.764705882352941,,,never convert a zero-success row to expected draws > attempts
stage3,instr_text,instrumental,all,held_out_0041,35,64,0.546875,0.4257359722005412,0.6627055221938833,1.8285714285714285,1.8285656529288117,1.8285714285714285,1.8285714285714285,,,never convert a zero-success row to expected draws > attempts
stage3,instr_text,instrumental,all,held_out_0043,14,64,0.21875,0.13502319406719474,0.3343278395662582,4.571428571428571,4.483386059685155,4.571428571428485,4.571428571428571,,,never convert a zero-success row to expected draws > attempts
stage3,instr_text,instrumental,all,held_out_0058,18,64,0.28125,0.18593372333727837,0.40133930282207403,3.5555555555555554,3.5375190171015394,3.5555555555555554,3.5555555555555554,,,never convert a zero-success row to expected draws > attempts
stage3,instr_text,instrumental,all,held_out_0080,25,64,0.390625,0.2805556918824008,0.5130808211972754,2.56,2.5590744623417847,2.56,2.56,,,never convert a zero-success row to expected draws > attempts
