prompt_id,stratum,selection_bin,successes,attempts,p_hat,assigned_regime,prob_rare_le_1_in_16,prob_low_1_in_16_to_1_in_4,prob_seed_recoverable_1_in_4_to_1_in_2,prob_easy_ge_1_in_2,max_membership_probability,membership_flag,population_weight
held_out_0132,instrumental,0,124,128,0.96875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0137,instrumental,0,122,128,0.953125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0138,vocal,0,67,128,0.5234375,easy_ge_1_in_2,0.0,0.0,0.2681,0.7319,0.7319,uncertain,2.0344827586206895
held_out_0140,instrumental,3,102,128,0.796875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.5
held_out_0141,vocal,1,64,128,0.5,easy_ge_1_in_2,0.0,0.0,0.4755,0.5245,0.5245,uncertain,2.0
held_out_0142,vocal,5,9,128,0.0703125,low_1_in_16_to_1_in_4,0.4547,0.5453,0.0,0.0,0.5453,uncertain,2.0
held_out_0143,vocal,2,24,128,0.1875,low_1_in_16_to_1_in_4,0.0001,0.9494,0.0505,0.0,0.9494,stable,1.9230769230769231
held_out_0146,instrumental,1,115,128,0.8984375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0148,vocal,0,79,128,0.6171875,easy_ge_1_in_2,0.0,0.0,0.0025,0.9975,0.9975,stable,2.0344827586206895
held_out_0150,vocal,0,107,128,0.8359375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0151,instrumental,0,126,128,0.984375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0152,vocal,4,14,128,0.109375,low_1_in_16_to_1_in_4,0.0527,0.9473,0.0,0.0,0.9473,stable,2.0
held_out_0156,instrumental,4,50,128,0.390625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0006,0.9913,0.0081,0.9913,stable,2.0
held_out_0159,vocal,1,62,128,0.484375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.6035,0.3965,0.6035,uncertain,2.0
held_out_0161,instrumental,0,94,128,0.734375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0162,vocal,0,103,128,0.8046875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0164,vocal,3,58,128,0.453125,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.8372,0.1628,0.8372,stable,2.0
held_out_0169,vocal,0,43,128,0.3359375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0142,0.9858,0.0,0.9858,stable,2.0344827586206895
