dataset,condition,stratum,prompts,seeds_per_prompt,population_weighted,draws_N,deployment_success,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,prompt_only_ci95_low,prompt_only_ci95_high,estimand,rate_scope
stage3,vocal_hints,vocal,17,64,0,8,0.45468653914497825,0.2998763777228161,0.5836438844271503,0.3226547196258777,0.5888406661660947,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_hints,vocal,17,64,0,16,0.6227687171127515,0.42908527469590807,0.7504280956020997,0.46929564845094945,0.7638686359349678,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,instrumental,47,128,1,4,0.9590462178913588,0.947327045276137,0.9683189100578676,0.9509708460060323,0.9673588798184563,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,instrumental,47,128,1,5,0.9732311970052326,0.9632226781156992,0.9806453376645072,0.9667859384323295,0.9797969543922159,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,instrumental,47,128,1,8,0.991191755409841,0.9847526565967704,0.9949884832528334,0.9876908705246452,0.9945243496761547,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,instrumental,47,128,1,16,0.9992576577695969,0.9974808516522033,0.9997941670864582,0.9986016479951962,0.9997550024253236,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,vocal,81,128,1,4,0.7568577099858103,0.7147601895143817,0.7907279384106682,0.7200279628419405,0.7926443529891591,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,vocal,81,128,1,5,0.8001901517766974,0.7600185287673464,0.8312950952330501,0.7671427770620051,0.8334029883499183,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,vocal,81,128,1,8,0.8731376755057724,0.8385052683113544,0.8985025470590773,0.8449214371739269,0.8999056331250659,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,vocal,81,128,1,16,0.9412008185488978,0.9131455400014434,0.9588146249109474,0.9211305754432931,0.9612510719199453,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
