task_id,prompt_rank,prompt_id,condition_index,condition,seed_idx,seed,cfg_scale,text_intervention,duration_seconds,output_path
w2fact_00_2_11,0,held_out_0238,2,positive_text,11,2034000011,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s11_2034000011.flac
w2fact_00_2_12,0,held_out_0238,2,positive_text,12,2034000012,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s12_2034000012.flac
w2fact_00_2_13,0,held_out_0238,2,positive_text,13,2034000013,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s13_2034000013.flac
w2fact_00_2_14,0,held_out_0238,2,positive_text,14,2034000014,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s14_2034000014.flac
w2fact_00_2_15,0,held_out_0238,2,positive_text,15,2034000015,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s15_2034000015.flac
w2fact_00_3_00,0,held_out_0238,3,sampler_only,0,2034000000,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s00_2034000000.flac
w2fact_00_3_01,0,held_out_0238,3,sampler_only,1,2034000001,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s01_2034000001.flac
w2fact_00_3_02,0,held_out_0238,3,sampler_only,2,2034000002,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s02_2034000002.flac
w2fact_00_3_03,0,held_out_0238,3,sampler_only,3,2034000003,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s03_2034000003.flac
w2fact_00_3_04,0,held_out_0238,3,sampler_only,4,2034000004,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s04_2034000004.flac
