cohort,request_direction,prompt_id,rows,apparent_violation_rate,corrected_violation_rate,calibrated_violation_rate,publication_status
batch3_release_keep_1342,vocal_request,held_out_0065,2,0.0,0.0,8.478641922132162e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0066,1,0.0,0.0,0.00047835795421477713,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0068,4,0.25,0.0,0.0006454226714129018,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0069,30,0.8666666666666667,0.0,0.002462771056763229,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0070,1,0.0,0.0,0.0020648649748163223,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0071,2,0.0,0.0,0.0011887285596352422,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0073,1,0.0,0.0,0.0009111903827356205,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0079,1,0.0,0.0,0.0009309997633269452,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0081,2,0.0,0.0,0.0006721592399229693,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0082,3,0.6666666666666666,0.0,0.0006528515424787505,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0084,2,0.0,0.0,0.00024706655360058567,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0085,1,0.0,0.0,0.0003014817144858448,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0087,1,0.0,0.0,0.000235282061982614,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0089,2,1.0,0.0,0.0029707663086021995,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0090,1,0.0,0.0,0.0010771317859329008,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0091,3,0.0,0.0,0.00025596085153147793,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0092,2,0.0,0.0,0.0008981774490456186,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0096,2,1.0,0.0,0.00097321038145953,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0097,3,0.3333333333333333,0.0,0.0006611734511880208,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0099,1,0.0,0.0,7.456136494930893e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0100,1,0.0,0.0,0.00016926459627585676,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0101,2,0.0,0.0,0.0005438701534782378,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0104,3,0.3333333333333333,0.0,0.0011148741169100692,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0106,1,0.0,0.0,0.0007892185683851917,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0111,1,0.0,0.0,0.0013624705769897229,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0112,2,0.0,0.0,0.0006355053943720001,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0113,2,0.0,0.0,0.0016297390034027053,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0119,36,0.8611111111111112,0.0,0.001935866425832728,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0125,1,0.0,0.0,0.0001986342910839739,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0128,1,0.0,0.0,0.0003705859999793404,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0133,2,0.0,0.0,0.000857201287610585,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0134,31,0.8709677419354839,0.0,0.0028163668407069696,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0138,1,0.0,0.0,0.0001776968956968332,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0141,3,0.3333333333333333,0.0,0.001143259649909239,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0142,37,0.918918918918919,0.0,0.004023157388563027,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0143,1,1.0,0.0,0.0013622045780136778,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0148,1,0.0,0.0,0.0004180225802675478,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0149,1,0.0,0.0,0.00019810206020854374,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0150,1,0.0,0.0,0.00020822719039830125,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0154,2,0.0,0.0,0.0002500989708245555,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0158,2,0.5,0.0,0.011103452894794547,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0159,1,0.0,0.0,0.000647815687131575,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0160,3,0.0,0.0,0.00042697480387124685,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0165,1,0.0,0.0,0.0013252270741692979,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0166,16,0.6875,0.0,0.002035661439819346,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0167,2,0.0,0.0,0.00016353740391258356,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0169,1,0.0,0.0,0.0010385010441762333,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0172,1,1.0,0.0,0.0002944057192092827,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0174,3,0.0,0.0,0.0002293073393113019,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0180,1,0.0,0.0,0.0004810905801552738,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0183,1,0.0,0.0,0.00020072619623376543,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0187,1,0.0,0.0,0.0003025250984870395,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0188,1,0.0,0.0,0.00033381830733326533,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0193,31,0.9354838709677419,0.0,0.003857324427466596,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0194,2,0.0,0.0,0.00021234899522120626,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0195,2,0.0,0.0,0.0004990198423961485,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0196,1,0.0,0.0,0.00034006790430198496,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0198,1,0.0,0.0,0.0004530794660209334,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0199,55,0.9636363636363636,0.0,0.002304568825952418,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0200,2,0.0,0.0,0.0009698066268425393,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0203,2,0.0,0.0,0.0018217617682843525,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0204,49,0.9387755102040817,0.0,0.0016639168436336756,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0209,2,0.0,0.0,0.00035698168014282767,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0212,5,0.0,0.0,0.00042018628991198826,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0213,2,0.0,0.0,0.0008414491809826415,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0214,1,0.0,0.0,0.0005663524517200813,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0216,1,0.0,0.0,0.0005151664447177525,DRAFT_AWAITING_DUAL_PI_ADOPTION
