rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0103_72874da38f31,aprime_global_563477af3e6b8ebc13c5,563477af3e6b8ebc13c5328a770469b7d583747cfab7e53bd0903e0c33fecdc7,1
aprime_0105_d51fda1cf5d0,aprime_global_da3fb2f519344c254c5b,da3fb2f519344c254c5b24ff52adcded8ac3aa43811da80c8c4968e95cdd71f7,2
aprime_0106_112fa35970d9,aprime_global_ab2d258a00256f7844ff,ab2d258a00256f7844ff2ca45c998a12b39bb8ea9a897501092a4a8c87a70bae,1
aprime_0107_b5c83196b925,aprime_global_e18e538e1404fcc935c6,e18e538e1404fcc935c60b8208a81431013985dc99f4e2410254d2da9d4427d0,1
aprime_0108_7d0fd5fbbe1b,aprime_global_a6178b94545b4b674494,a6178b94545b4b6744944ed2ae9100ea41e05652c422e6db09a5e7b3ce9b651b,1
aprime_0111_9c32911ec9c2,aprime_global_bc83ffd75e35fd28609e,bc83ffd75e35fd28609e1ad96caf4a0295f0c497a982765ebae7c1c2c0a077e4,1
aprime_0112_026d3181cd8c,aprime_global_d077daa4ccc6caf0c948,d077daa4ccc6caf0c9486a32474b58014d5dfe2c7b92e349021d8b532b908e22,1
aprime_0113_8cd074f67f4f,aprime_global_abef6d135d17ca0839a2,abef6d135d17ca0839a2fcf163c4d4edfd178d9464652b49c08583a9c848a732,1
aprime_0114_fe1b7b21de69,aprime_global_497c7af0d7e6eeb02bb4,497c7af0d7e6eeb02bb42719e8652a42827afb0ec84eeeeeb1ba102cae642f3a,1
aprime_0115_6f440ca487de,aprime_global_6f8c39f16d4a89f2208b,6f8c39f16d4a89f2208b304834909f289d0d3ff368558a1d636305bb59c5f144,1
aprime_0116_60353c2c60ae,aprime_global_4501fd54f7751e2d4447,4501fd54f7751e2d444791bb76ca7c5de9c8431cfe8a30a7000f515183cce0ee,1
aprime_0118_8b03e33d1ee1,aprime_global_2eabbe54f76ea3b13397,2eabbe54f76ea3b133975d0ebc0042d92760528d5abffe84116a6d509701e9a1,1
aprime_0119_e9458fc6075e,aprime_global_aabb8f61c5139564e12a,aabb8f61c5139564e12a385b1b392151422824517c9454ea9a6ed5e3a142c18c,1
aprime_0121_f803d8b68990,aprime_global_34672fb90711b954cfdd,34672fb90711b954cfdd1a0fceb281c88d7870c25d3ca3c787edd92d80f259f9,1
aprime_0122_0feb20d3291d,aprime_global_43b055c4023181c99dda,43b055c4023181c99dda53163e0cc91b90b0145eca1a11d660afd35ba30f1a3f,1
aprime_0124_5ea0eb3ca834,aprime_global_a28b12caec0ec9d452a3,a28b12caec0ec9d452a375252e9d064538dabdc4aaf18fcadfcb6216208c6f34,1
