source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r1_t04_seed2026326104.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,1,4,2026326104,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14159635
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r1_t06_seed2026326106.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,1,6,2026326106,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13882203
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r2_t02_seed2026326202.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,2,2,2026326202,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14691167
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r2_t04_seed2026326204.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,2,4,2026326204,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14065914
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r2_t05_seed2026326205.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,2,5,2026326205,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13822559
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a1_r0_t04_seed2026327004.flac,PH2_ONLINE,online_run,held_out_0009,arm1,1,0,4,2026327004,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w9.jsonl,9202416
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a1_r1_t03_seed2026327103.flac,PH2_ONLINE,online_run,held_out_0009,arm1,1,1,3,2026327103,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w9.jsonl,8256879
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a6_r0_t04_seed2026327004.flac,PH2_ONLINE,online_run,held_out_0009,arm6,6,0,4,2026327004,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w9.jsonl,9202416
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a6_r1_t03_seed2026327103.flac,PH2_ONLINE,online_run,held_out_0009,arm6,6,1,3,2026327103,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w9.jsonl,8256879
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a1_r0_t04_seed2026328004.flac,PH2_ONLINE,online_run,held_out_0010,arm1,1,0,4,2026328004,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,6303496
