source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,category,baseline_bon256_prompt_success_rate
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0193/none_s16_2028500016.flac,ATLAS,bon256,held_out_0193,none,,,,2028500016,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,4385981,release_0111,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0111_6a2f881aabf5.flac,4385981,stratified_5pct_release_audit_sample,1415ca966cee544a15fceab972fd713031bd3ce0a79494817409c719897ea793,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0007/none_s78_2026600078.flac,ATLAS,bon256_general,held_out_0007,none,,,,2026600078,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w6.jsonl,2516162,release_0112,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0112_dd1c61cdb445.flac,2516162,stratified_5pct_release_audit_sample,83cfd6b0a145a9a0a6dd1c7ce4231f3215a0c3525f3e9e54bf94e4ef9eee4046,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0004/none_s2_2026400002.flac,ATLAS,bon256_general,held_out_0004,none,,,,2026400002,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w2.jsonl,7352347,release_0113,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0113_c379698c448b.flac,7352347,stratified_5pct_release_audit_sample,461dafa48db8173d082060a38bfaee8f50b246ef3889e5560592f46054b5c607,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0153/none_s259_2028200259.flac,ATLAS,bon256,held_out_0153,none,,,,2028200259,0,1,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w3.jsonl,3494307,release_0114,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0114_635c89e56ac4.flac,3494307,stratified_5pct_release_audit_sample,d0b3a694f3d83a039f778411dd11ba088a8135d6bbd5c639e736fcb4f7e7d533,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0008/none_s402_2026300402.flac,ATLAS,bon256,held_out_0008,none,,,,2026300402,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w2.jsonl,8561555,release_0115,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0115_323440926169.flac,8561555,stratified_5pct_release_audit_sample,39bee016d16c144acee9a39e5ea4c3da9b442e78cd2b827d179e5ed79081028d,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0024/none_s404_2026700404.flac,ATLAS,bon256,held_out_0024,none,,,,2026700404,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w4.jsonl,9158656,release_0116,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0116_4fb70f958a2f.flac,9158656,stratified_5pct_release_audit_sample,f6c23366a9ff6a42f6462da739ef93acaf7915db67df6cd8d88cafd5006ee212,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0174/a7_r0_t07_seed2026492007.flac,PH2_ONLINE,online_run,held_out_0174,arm7,7,0,7,2026492007,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w14.jsonl,14519372,release_0117,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0117_e7cd21a0ff77.flac,14519372,stratified_5pct_release_audit_sample,a6ee0328dd3c7be98e8d24650da6abd5c8b97e7e5e7777f1aa8adb5c5bc0f3e1,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0024/none_s435_2026700435.flac,ATLAS,bon256,held_out_0024,none,,,,2026700435,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w3.jsonl,6592036,release_0118,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0118_7df85585ff29.flac,6592036,stratified_5pct_release_audit_sample,5b3f6816e65ee70b4a02e51b87a9b1b9a7aca3168999a55f07d1d8c16347ab36,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0006/none_s146_2026500146.flac,ATLAS,bon256_general,held_out_0006,none,,,,2026500146,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w2.jsonl,3813968,release_0119,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0119_282c44ef3b07.flac,3813968,stratified_5pct_release_audit_sample,ba879257ae878ab56ddd0c58a7e8b5637c9d10d76b0c3dae62d1f13783b2d5d5,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0014/none_s180_2027000180.flac,ATLAS,bon256_general,held_out_0014,none,,,,2027000180,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w4.jsonl,4922761,release_0120,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0120_efb50614fd4f.flac,4922761,stratified_5pct_release_audit_sample,85a022a77009495aee90b1276de2606900d1fa6e343d6e31e4f8f67b9ca44ad1,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0154/a6_r0_t03_seed2026472003.flac,PH2_ONLINE,online_run,held_out_0154,arm6,6,0,3,2026472003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,7318041,release_0121,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0121_590f183bf1bd.flac,7318041,stratified_5pct_release_audit_sample,ab2c05fdfa2cbe20d269dd5d41161d406ad2548982175ae5a2d08eeef7ab0db3,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0016/none_s158_2026400158.flac,ATLAS,bon256,held_out_0016,none,,,,2026400158,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,7606879,release_0122,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0122_3c7d8a812bf0.flac,7606879,stratified_5pct_release_audit_sample,2eaf8b1b9487e39d270014a814c1e0f066eef89a8616e272af186a8361c9e836,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0043/none_s293_2027000293.flac,ATLAS,bon256,held_out_0043,none,,,,2027000293,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w5.jsonl,4768171,release_0123,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0123_f991f8eff390.flac,4768171,stratified_5pct_release_audit_sample,5ac9af843f2ae6ac57f8c70cdc641dc35c2df5413bf6fd018be9f2d5948ab8cb,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0142/none_s457_2028100457.flac,ATLAS,bon256,held_out_0142,none,,,,2028100457,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w1.jsonl,7558619,release_0124,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0124_fc9c3095af79.flac,7558619,stratified_5pct_release_audit_sample,d23b6e36b13e4b1f9381f234a5894c03d8e760d47211ac6379d40c0f8d689d31,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0186/a4_r0_t02_seed2026504002.flac,PH2_ONLINE,online_run,held_out_0186,arm4,4,0,2,2026504002,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,7228911,release_0125,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0125_40713f873e7c.flac,7228911,stratified_5pct_release_audit_sample,d53eeb9ab8b8c518137e564510f7048e8f5e0792f2cf1823073acd794e9106bf,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t03_seed2026334203.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,2,3,2026334203,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15588145,release_0126,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0126_18a5e18885c4.flac,15588145,stratified_5pct_release_audit_sample,fb7c3d4d250b89766cc3ce7c1fe920c6f02ee3241fa3aa89eed4ba68af308f6a,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0043/none_s315_2027000315.flac,ATLAS,bon256,held_out_0043,none,,,,2027000315,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w3.jsonl,3243403,release_0127,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0127_0cdf44fffa62.flac,3243403,stratified_5pct_release_audit_sample,3e516731b8d6d37c0a55c5c4fac4acf0df6657c327a27564dbe51f828c8fdd5b,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0193/none_s43_2028500043.flac,ATLAS,bon256,held_out_0193,none,,,,2028500043,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,5850400,release_0128,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0128_8c1119a0ed0f.flac,5850400,stratified_5pct_release_audit_sample,055a68b2bac0ab9ddb17b5611bd2bc2745bc19f9e105cd58331158162a20c1b8,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0199/none_s15_2028600015.flac,ATLAS,bon256,held_out_0199,none,,,,2028600015,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,5398866,release_0129,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0129_2e31a5b43bf6.flac,5398866,stratified_5pct_release_audit_sample,b7d09e08570ea8dda730531f3eb3497e823f8eae92d03e38cf6336746277ca1f,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0219/a8_r0_t01_seed2026537001.flac,PH2_ONLINE,online_run,held_out_0219,arm8,8,0,1,2026537001,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,7071230,release_0130,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0130_5a6ad506486b.flac,7071230,stratified_5pct_release_audit_sample,7ba22be023a3b36c60c34c46dd7a2680099bec374672432b034b9c757f82c71e,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0251/a1_r1_t01_seed2026569101.flac,PH2_ONLINE,online_run,held_out_0251,arm1,1,1,1,2026569101,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,6239817,release_0131,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0131_7fc58718d571.flac,6239817,stratified_5pct_release_audit_sample,dedfae93d5d71ce8dadec4ec1c585ebfa359c3997b3f3086c02aa0fbd59e68a3,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0042/a3_r0_t00_seed2026360000.flac,PH2_ONLINE,online_run,held_out_0042,arm3,3,0,0,2026360000,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,14497480,release_0132,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0132_27f9955df16d.flac,14497480,stratified_5pct_release_audit_sample,a9f1e697872c40a44233875bd6b7e49beda58f78bc87241933bb4cf64f618736,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0253/a4_r1_t03_seed2026571103.flac,PH2_ONLINE,online_run,held_out_0253,arm4,4,1,3,2026571103,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,6858573,release_0133,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0133_3e364f5af378.flac,6858573,stratified_5pct_release_audit_sample,2c87808233b71e078a1c34250fa2d577bbc313312e75f953c93d01fc08549266,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0199/none_s470_2028600470.flac,ATLAS,bon256,held_out_0199,none,,,,2028600470,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w6.jsonl,5233009,release_0134,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0134_c55c1f642b63.flac,5233009,stratified_5pct_release_audit_sample,ca342cadb3ec2ed3cd99f60574ada4b4d2ff110830ec205a59b255d40c463dc0,,
