bundle_rating_id,scorer_rating_id,bundle_name,identity_bundle_name,position,shuffle_seed,nonce_sha256,media_sha256,request_mode
r_c20f6d65734acd00912d,bprime_0010_c890b81e9b2b,t3_bprime_primary_v2,t3_bprime_primary,24,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6a91c7d54aa7ac5ddcb331e5576e1e2ddd0f84b3251482ea554d31ecba1931f9;6a91c7d54aa7ac5ddcb331e5576e1e2ddd0f84b3251482ea554d31ecba1931f9,vocal
r_72d1d939e407f81fb147,bprime_0011_175c938c45ae,t3_bprime_primary_v2,t3_bprime_primary,25,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,fb22f585a309a4e39866120b90815e2e273ddd6edee1727ce01d4d751e536ef9;fb22f585a309a4e39866120b90815e2e273ddd6edee1727ce01d4d751e536ef9,instrumental
r_eac068fcfe25fe40fd8e,bprime_0047_89d5a0f7ff78,t3_bprime_primary_v2,t3_bprime_primary,26,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6985d2b5f03aa09db631263486887263ebd88a29fd495995d325810c8c07316e;6985d2b5f03aa09db631263486887263ebd88a29fd495995d325810c8c07316e,instrumental
r_5ad1cddc8153b0138027,bprime_0029_6792e4caa76a,t3_bprime_primary_v2,t3_bprime_primary,27,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d0fbf0287f048194a241a0fdb94150b44fac27e436463056531c7fd88818a29b;d0fbf0287f048194a241a0fdb94150b44fac27e436463056531c7fd88818a29b,vocal
r_6fc49a435dd64d070358,bprime_0061_fac0effe45bd,t3_bprime_primary_v2,t3_bprime_primary,28,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0b6a2164e9189bee013cf000a9c70d56977524e343ab8b113147efa926bd7adf;4e0a5e2bff2e99e817a812954ef0abac812e2e277c539942044ea328970bc016,vocal
r_450fc29b425e16e4cc9e,bprime_0002_abce08b87655,t3_bprime_primary_v2,t3_bprime_primary,29,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d53eeb9ab8b8c518137e564510f7048e8f5e0792f2cf1823073acd794e9106bf;d53eeb9ab8b8c518137e564510f7048e8f5e0792f2cf1823073acd794e9106bf,instrumental
r_157d8a9b69b0dcd1289a,bprime_0065_304528335445,t3_bprime_primary_v2,t3_bprime_primary,30,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,a0abb376c7d9c4b8a56eff660fded4b8c29b51854fb9c38132411cc8f0c93530;a0abb376c7d9c4b8a56eff660fded4b8c29b51854fb9c38132411cc8f0c93530,vocal
r_b240464648c0f4ddd5f5,bprime_0064_9cec2460f409,t3_bprime_primary_v2,t3_bprime_primary,31,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,14ad567dc205daf27baca1dbdad27b710d632483f85eb93fe87a011e916c1665;de8276c2cf880e1903e8a34ebdafd481fce1e216a4d48b5a42570b52cc42acf3,vocal
r_4b1bf27a3b5a350f5ef1,bprime_0032_d209eaf55284,t3_bprime_primary_v2,t3_bprime_primary,32,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,c7c150f5dcb61704ebf489ab7d076af3b83f0b7aa9e4d84d66fdbf276bc7418f;b34ea2a76a81240ab6fdb02d7317e068cead470cc4a8891decfd6162ab5f57c4,vocal
r_ab1680dd742f4f376a5d,bprime_0052_eb6f1327a8f4,t3_bprime_primary_v2,t3_bprime_primary,33,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9a06c030af52dc8eac63c9af4a16e43960801587b375639e8e1bc340bd961f72;9a06c030af52dc8eac63c9af4a16e43960801587b375639e8e1bc340bd961f72,instrumental
r_f8f30c395036d2e89399,bprime_0078_ebfa46a38b79,t3_bprime_primary_v2,t3_bprime_primary,34,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,7f1a4859cea5df9c0017d960bd1973272aaf7052718b13ca44750227b5f392e0;41d8ea4ee8e4bee4e67ce22351ddb1e4b39943074a6defbc0caba64f4141b335,vocal
r_0cb0f3c25e5d44f653d6,bprime_0012_bb29e99fe51b,t3_bprime_primary_v2,t3_bprime_primary,35,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0c72abbe6ea2dc332ea418f8cf35491c10d257dca67eea8219d50ae125294457;0c72abbe6ea2dc332ea418f8cf35491c10d257dca67eea8219d50ae125294457,vocal
r_a0469a41a734f600c2a8,bprime_0059_c72169bb90a4,t3_bprime_primary_v2,t3_bprime_primary,36,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,f6ab0cee5cce54a87bc876487d6135ef494a739a34f717e61452ab6673c670c1;3b9ffacab6f3face7e6c6a8313c4ce3f014ef6394dda806f4ec68125119d3622,instrumental
r_870d2f3905b1ece5ec87,bprime_0033_b2fda2904978,t3_bprime_primary_v2,t3_bprime_primary,37,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,3adc9d03d142339061f57a4d1ba0065ceb51389f9bd737f3e805c01ee1631639;cf619133363a44579603ff4aaeb91551c79776c3e4b9cc952e328d265315e2ac,instrumental
r_a213fd548cdd37f3b0c2,bprime_0074_107c0e2513cd,t3_bprime_primary_v2,t3_bprime_primary,38,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,5313395ea1422c59ad9ff2f71f8513ad6f5cc54c0243ca2612c58645e27d5de0;ed011b335ddf0406dbf12b1f3edb5f410b10bd0b28648ebb2ec0c39a70904b6c,instrumental
r_cfc098d5b881e47572bb,bprime_0021_f114192c4edb,t3_bprime_primary_v2,t3_bprime_primary,39,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9fe40d177211b2b7a9675a0215308ad83efc01d8fb07fa1cce8125eacd67015a;67d0a13a1192594c0eb919e43ca02099f5eec925b51acfa6ccde1d26c9235b4e,instrumental
r_87585b5ca172a928e3a8,bprime_0017_ccec7f03bbc8,t3_bprime_primary_v2,t3_bprime_primary,40,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,378a23159928e619e2db69a63e3e85d7b45090161d70e858e34d5dead8e0d95c;378a23159928e619e2db69a63e3e85d7b45090161d70e858e34d5dead8e0d95c,vocal
