budget_draws,policy,policy_class,prompts,expected_clean_outputs_per_prompt,final_violation_rate,clean_yield_per_compute_draw
4,threshold_le_0.25000000,threshold_sweep,32,0.9057932246901146,0.09420677530988542,0.22644830617252865
4,threshold_le_0.50000000,threshold_sweep,32,0.9041868594717926,0.09581314052820744,0.22604671486794814
8,always_reseed,fixed,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,bon_independent_reseed,fixed,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,always_recondition,fixed,32,0.9744552069876842,0.025544793012315825,0.12180690087346052
8,direction_aware_vocal_rare,exploratory_rule,32,0.8843016536352667,0.1156983463647333,0.11053770670440834
8,n2_rare_prior,exploratory_rule,32,0.8065327272586799,0.19346727274132014,0.10081659090733498
8,n2_low_or_rare_prior,exploratory_rule,32,0.873285632501141,0.126714367498859,0.10916070406264262
8,direction_aware_gain_prior,oracle_or_outcome_informed,32,0.9865473349205155,0.013452665079484505,0.12331841686506444
8,oracle_best_of_reseed_or_recondition,oracle_or_outcome_informed,32,0.9865473349205155,0.013452665079484505,0.12331841686506444
8,threshold_le_0.00000000,threshold_sweep,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,threshold_le_0.00390625,threshold_sweep,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,threshold_le_0.00781250,threshold_sweep,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,threshold_le_0.01562500,threshold_sweep,32,0.7226637228645281,0.27733627713547193,0.09033296535806601
8,threshold_le_0.03125000,threshold_sweep,32,0.7969628601430353,0.2030371398569647,0.09962035751787941
8,threshold_le_0.06250000,threshold_sweep,32,0.8843016536352667,0.1156983463647333,0.11053770670440834
8,threshold_le_0.12500000,threshold_sweep,32,0.9496116716295309,0.05038832837046914,0.11870145895369136
8,threshold_le_0.25000000,threshold_sweep,32,0.9772903925985083,0.02270960740149175,0.12216129907481353
8,threshold_le_0.50000000,threshold_sweep,32,0.9745581937734705,0.025441806226529473,0.12181977422168382
16,always_reseed,fixed,32,0.8177038467894487,0.18229615321055126,0.051106490424340546
16,bon_independent_reseed,fixed,32,0.8177038467894487,0.18229615321055126,0.051106490424340546
16,always_recondition,fixed,32,0.9968120233090754,0.003187976690924632,0.06230075145681721
16,direction_aware_vocal_rare,exploratory_rule,32,0.9628536160215969,0.037146383978403086,0.06017835100134981
16,n2_rare_prior,exploratory_rule,32,0.8995328471055359,0.10046715289446406,0.056220802944095996
16,n2_low_or_rare_prior,exploratory_rule,32,0.9310412115963206,0.06895878840367942,0.058190075724770036
16,direction_aware_gain_prior,oracle_or_outcome_informed,32,0.9990819084082333,0.000918091591766701,0.06244261927551458
16,oracle_best_of_reseed_or_recondition,oracle_or_outcome_informed,32,0.9990819084082333,0.000918091591766701,0.06244261927551458
16,threshold_le_0.00000000,threshold_sweep,32,0.8177038467894487,0.18229615321055126,0.051106490424340546
16,threshold_le_0.00390625,threshold_sweep,32,0.8177038467894487,0.18229615321055126,0.051106490424340546
16,threshold_le_0.00781250,threshold_sweep,32,0.8177038467894487,0.18229615321055126,0.051106490424340546
16,threshold_le_0.01562500,threshold_sweep,32,0.8427760605429113,0.15722393945708868,0.05267350378393196
16,threshold_le_0.03125000,threshold_sweep,32,0.9016874251088038,0.09831257489119616,0.05635546406930024
16,threshold_le_0.06250000,threshold_sweep,32,0.9628536160215969,0.037146383978403086,0.06017835100134981
16,threshold_le_0.12500000,threshold_sweep,32,0.9917974249746221,0.008202575025377912,0.06198733906091388
16,threshold_le_0.25000000,threshold_sweep,32,0.9974110359264275,0.002588964073572453,0.06233818974540172
16,threshold_le_0.50000000,threshold_sweep,32,0.9968124884924419,0.0031875115075581384,0.062300780530777616
