schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,aesthetic_pq,vocal,316,0.9909133531824226,0.629746835443038,0.0725473693654507,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,aesthetic_pq,vocal,316,0.9993030141103652,0.9462025316455697,0.005564703217035607,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,aesthetic_pq,vocal,316,0.9993030141103652,0.9462025316455697,0.005564703217035607,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,aesthetic_pq,vocal,316,0.9992927502011347,0.9588607594936709,0.005646649795242503,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,aesthetic_pq,vocal,31600,0.9636128532913355,0.2475,0.29051330214814297,0.20283126831054688
full_bon8,1.0,common_robust_lcb,aesthetic_cu,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,aesthetic_cu,vocal,316,0.9867719512150558,0.4588607594936709,0.10260046433798875,0.01193380355834961
bon4_random_subset,0.5,common_robust_lcb,aesthetic_cu,vocal,31600,0.9870810190966408,0.5049367088607595,0.1002032469797738,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,aesthetic_cu,vocal,316,0.9911045399279569,0.6012658227848101,0.06899568853499013,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,aesthetic_cu,vocal,316,0.9934272475686163,0.6518987341772152,0.050980115238624286,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,aesthetic_cu,vocal,316,0.9991301473337835,0.9367088607594937,0.006746821765658222,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,aesthetic_cu,vocal,316,0.9991301473337835,0.9367088607594937,0.006746821765658222,0.0
