schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,aesthetic_pq,vocal,316,0.9883872077277616,7.891237909280801,7.983953907519957,0.5474683544303798,0.17088607594936708,0.7943037974683544,0.0,0.9556962025316456,0.4525316455696203,0.5174050632911392,0.09271599823915505,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,aesthetic_pq,vocal,316,0.9929119381252708,7.927363148218469,7.983953907519957,0.6645569620253164,0.23417721518987342,0.8734177215189873,0.0,0.9873417721518988,0.33544303797468356,0.4462025316455696,0.0565907593014874,0.0
raw_schedule_c_sigma0.8_top6,0.85,aesthetic_pq,vocal,316,0.9991761456074686,7.977376292023478,7.983953907519957,0.9367088607594937,0.8765822784810127,0.9936708860759493,0.6044303797468354,1.0,0.06329113924050633,0.06487341772151899,0.0065776154964785035,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,aesthetic_pq,vocal,316,0.9991761456074686,7.977376292023478,7.983953907519957,0.9367088607594937,0.8765822784810127,0.9936708860759493,0.6044303797468354,1.0,0.06329113924050633,0.06487341772151899,0.0065776154964785035,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,aesthetic_pq,vocal,316,0.9993580876020325,7.978828908521918,7.983953907519957,0.9620253164556962,0.8860759493670886,1.0,0.6772151898734177,1.0,0.0379746835443038,0.056962025316455694,0.005124998998038376,0.0
random_prune_keep4_keep2,0.5,aesthetic_pq,vocal,31600,0.9636128532913355,7.693440605371813,7.983953907519957,0.2475,0.035474683544303796,0.46686708860759496,0.0,0.7883227848101266,0.7525,0.7488291139240506,0.29051330214814297,0.20283126831054688
full_bon8,1.0,aesthetic_pq,instrumental,196,1.0,7.8487449616801985,7.8487449616801985,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,aesthetic_pq,instrumental,196,0.9820327756280192,7.707724799915236,7.8487449616801985,0.5255102040816326,0.2193877551020408,0.7959183673469388,0.02040816326530612,0.9897959183673469,0.4744897959183674,0.4923469387755102,0.14102016176496232,0.0
bon4_random_subset,0.5,aesthetic_pq,instrumental,19600,0.9802102137676962,7.693419976696676,7.8487449616801985,0.4962755102040816,0.21647959183673468,0.7867857142857143,0.013520408163265307,0.9864795918367347,0.5037244897959183,0.4983673469387755,0.15532498498352207,0.001674652099609375
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,aesthetic_pq,instrumental,196,0.9837321350124283,7.721062638321701,7.8487449616801985,0.5867346938775511,0.21428571428571427,0.7806122448979592,0.0,0.9642857142857143,0.413265306122449,0.5025510204081632,0.12768232335849683,0.0
