family,param,compute_fraction,sel_common_robust_lcb,sel_aesthetic_pq,sel_aesthetic_cu,sel_semantic_fit,sel_section_coherence,sel_lyric_intelligibility_vocal_scorable,winner_match,false_restart_rate,top2_retention,top4_retention,regret_common_robust_lcb,regret_semantic_fit,regret_lyric_intelligibility_vocal_scorable
adsr_noevpd,"(0.375, 0.5, 0.9, 0.8)",0.8163655598958334,2.3507071778929283,7.792954809963703,7.703945923596621,0.3461203954266239,0.9573317150352523,0.409894825808975,0.865234375,0.134765625,0.98046875,1.0,0.006925728482910429,0.11245318276087346,0.20253201530916023
adsr_noevpd,"(0.375, 0.35, 0.9, 0.8)",0.816845703125,2.350784440310259,7.791711379773915,7.703193758614361,0.34484829243410786,0.9573078381363302,0.4157096866770274,0.875,0.125,0.982421875,1.0,0.006848466065580026,0.11372528575338947,0.19671715444110788
adsr_noevpd,"(0.375, 0.65, 0.9, 0.7)",0.8375569661458333,2.3525581035193177,7.789250070229173,7.699237622320652,0.3454232918902562,0.9574167777318507,0.41130671917227796,0.884765625,0.115234375,0.990234375,1.0,0.005074802856520922,0.11315028629724111,0.20112012194585735
adsr_noevpd,"(0.375, 0.5, 0.9, 0.7)",0.8424072265625,2.3530693434782854,7.792694207280874,7.704257756471634,0.34555697817086184,0.9575834997231141,0.4115992723637673,0.896484375,0.103515625,0.990234375,1.0,0.004563562897552891,0.1130166000166355,0.200827568754368
adsr_noevpd,"(0.375, 0.35, 0.9, 0.7)",0.8468587239583333,2.353802806109826,7.790816782973707,7.704056276008487,0.3447270094820851,0.9576515285298228,0.4171256608688792,0.912109375,0.087890625,0.994140625,1.0,0.003830100266013039,0.11384656870541221,0.1953011802492561
adsr_noevpd,"(0.375, 0.65, 0.8, 0.7)",0.8534830729166667,2.3555468301266043,7.796878742985427,7.708545298315585,0.34263271569761855,0.9577936548739672,0.4206983047340762,0.951171875,0.048828125,0.99609375,1.0,0.00208607624923449,0.11594086248987878,0.19172853638405904
adsr_noevpd,"(0.375, 0.5, 0.8, 0.7)",0.8580240885416667,2.355799285440683,7.798522750847042,7.71127874776721,0.3426290425904881,0.9579202372115105,0.4195605978782843,0.955078125,0.044921875,0.99609375,1.0,0.0018336209351559997,0.11594453559700924,0.192866243239851
adsr_noevpd,"(0.375, 0.35, 0.8, 0.7)",0.8619954427083333,2.356417161981528,7.798300583846867,7.711727215908468,0.34311522752068413,0.9580106571083888,0.41901883270885953,0.9609375,0.0390625,0.99609375,1.0,0.0012157443943108326,0.1154583506668132,0.19340800840927574
aesthetic_restart,"(0.75, 0.9)",0.425,2.276513534940717,7.706923856399953,7.598350160755217,0.33323304216310135,0.954810278955847,0.33990262169911667,0.302734375,0.697265625,0.537109375,0.837890625,0.0811193714351215,0.125340536024396,0.27252421941901855
aesthetic_restart,"(0.625, 0.9)",0.5208333333333334,2.3036629382034643,7.74912937823683,7.6423181323334575,0.33655585041015,0.9555278745247051,0.35312307752957134,0.41015625,0.58984375,0.666015625,0.9375,0.053969968172374504,0.12201772777734732,0.25930376358856394
