prompt_id,root_index,checkpoint_step,oracle_action,oracle_cqs,oracle_cost_nfe,oracle_output_sha256,oracle_level,oracle_selected,oracle_success_count,oracle_option_value,stratum,design_weight,best_static_program,best_static_cqs,best_static_nfe,oracle_tree_nfe,oracle_minimum_success_nfe,oracle_cheapest_successful,oracle_quality_floor_failures,oracle_completion,compute_saving,matched_oracle_nfe,nonstatic_program
dev_0121,1,18,RESTART_CONDITIONED,1,74,1a9f8ec6a2cb531daed3b8a8623ac8e4e8be62a9393712ccd93c93fcbe342f79,,,,,,,,,,,,,,,,,
dev_0121,0,,,1,90,,per_root_feasible_subset,root0_step6_SWITCH_CONDITION;root0_step6_RESTART_CONDITIONED,2,38.50886266672375,,,,,,,,,,,,,
dev_0121,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_CONDITIONED,2,31.834030462213136,,,,,,,,,,,,,
dev_0150,0,6,SWITCH_CONDITION,1,45,e512018839f3d48b56da3f60daf52a72fc8f4f3f7c49026891cdb8c64b229f79,,,,,,,,,,,,,,,,,
dev_0150,0,12,SWITCH_CONDITION,1,45,a25f53e6d4aff8573bc9c4b89527f24773141b342295f002df1d5dadf0eedfdb,,,,,,,,,,,,,,,,,
dev_0150,0,18,RESTART_CONDITIONED,1,74,a3b8c26402dad45a0c71d96d0e52144ed811b889b65e12db62238af2bc19f3d0,,,,,,,,,,,,,,,,,
dev_0150,1,6,RESTART_CONDITIONED,1,51,97146b865c74211b795b21fa290a2ba1d1d6825580d3f62e9d6fa90a22315edf,,,,,,,,,,,,,,,,,
dev_0150,1,12,RESTART_BASE,0,62,5e278f957d7fe013e8db11ca4af4c1d869d02062d3161fe51233eae77b8ae1f5,,,,,,,,,,,,,,,,,
dev_0150,1,18,RESTART_CONDITIONED,1,74,b609c17641c5789fb3384ae7c00bd33fe7c6bb35dcf0f2c524fc9929eae24779,,,,,,,,,,,,,,,,,
dev_0150,0,,,1,90,,per_root_feasible_subset,root0_step6_SWITCH_CONDITION;root0_step6_RESTART_CONDITIONED,2,37.235306917348495,,,,,,,,,,,,,
dev_0150,1,,,1,74,,per_root_feasible_subset,root1_step18_RESTART_CONDITIONED,1,18.177677745288612,,,,,,,,,,,,,
dev_0187,0,6,RESTART_CONDITIONED,1,51,1e381863b86c80ab26764b9f9f8beee18d9fd417a31b0ca13af11f8e941f259f,,,,,,,,,,,,,,,,,
dev_0187,0,12,SWITCH_CONDITION,1,45,92f598c7d0064a115dfa69326c9ac654dca08cd189a356773dd219f782e9e5d5,,,,,,,,,,,,,,,,,
dev_0187,0,18,RESTART_CONDITIONED,1,74,0404a56d0b30682b5418bcdac6eaabf698264b5ead9f79880ba32974bd83fa8e,,,,,,,,,,,,,,,,,
dev_0187,1,6,SWITCH_CONDITION,1,45,b62cddf5a0489588338c795872d3cd3e3f20717ba8e4194d830e4c445876bcf3,,,,,,,,,,,,,,,,,
dev_0187,1,12,SWITCH_CONDITION,1,45,a956a440943e08946791aa86c46c9ce52e623a32fa8b33556d73feef0a3b9bb6,,,,,,,,,,,,,,,,,
dev_0187,1,18,RESTART_CONDITIONED,1,74,a90ab95b28ad28c2b1d70b92fa8872041c65b4b89593271e6e8b5f9c2088ef80,,,,,,,,,,,,,,,,,
dev_0187,0,,,1,90,,per_root_feasible_subset,root0_step6_RESTART_CONDITIONED;root0_step12_SWITCH_CONDITION,2,34.058013068988274,,,,,,,,,,,,,
dev_0187,1,,,1,84,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step12_SWITCH_CONDITION,2,24.20461426966993,,,,,,,,,,,,,
dev_0221,0,6,RESTART_CONDITIONED,1,51,716892f7f2e32ac91aa950a55c2c3bcdbbc263653ffcae24e2f8804ababbd6eb,,,,,,,,,,,,,,,,,
dev_0221,0,12,RESTART_CONDITIONED,1,62,f4a93423c511d8a79f3106ffe6380bd950e85f84cd1a8f39b10d24400cef221d,,,,,,,,,,,,,,,,,
dev_0221,0,18,SWITCH_CONDITION,1,45,f9768c9afb0977a0c7c791ece5b9122722dc7053f606cd6651e5f55edd22eaea,,,,,,,,,,,,,,,,,
dev_0221,1,6,SWITCH_CONDITION,1,45,5a05db750bd93fd79ea0ecc910cc4eeb53939f192553ef2698ef3b418ea8e5b0,,,,,,,,,,,,,,,,,
dev_0221,1,12,RESTART_CONDITIONED,1,62,cf6a986479cbca11193ca0b3e7ae1844f6d99da0afa57a527e87155c3295922b,,,,,,,,,,,,,,,,,
dev_0221,1,18,RESTART_CONDITIONED,1,74,5910d81ab461df5eed946a4214aa7468da8faf53ce31ab1971e0ff5cb374e0b7,,,,,,,,,,,,,,,,,
dev_0221,0,,,1,89,,per_root_feasible_subset,root0_step12_FORK_LATENT;root0_step18_SWITCH_CONDITION;root0_step18_FORK_LATENT,3,47.65657469984322,,,,,,,,,,,,,
