phase,unit_id,prompt_id,root_seed,checkpoint_step,prefix_nfe,action_nfe,total_program_nfe,scheduler_steps,wall_seconds,cuda_seconds,status
switch,switch::dev_0003::2069001001::12,dev_0003,2069001001,12,17,38,55,18,2.0709498170763254,2.070781982421875,PASS
switch,switch::dev_0103::2069003000::6,dev_0103,2069003000,6,6,39,45,24,2.166785379871726,2.166568115234375,PASS
switch,switch::dev_0143::2069004000::18,dev_0143,2069004000,18,29,20,49,12,1.2440317161381245,1.2438505859375,PASS
switch,switch::dev_0155::2069005001::12,dev_0155,2069005001,12,17,28,45,18,2.2076166421175003,2.20742724609375,PASS
switch,switch::dev_0246::2069007000::6,dev_0246,2069007000,6,6,39,45,24,3.3209521155804396,3.320762451171875,PASS
switch,switch::dev_0001::2069000001::6,dev_0001,2069000001,6,6,39,45,24,2.6884431783109903,2.6881279296875,PASS
switch,switch::dev_0003::2069001001::18,dev_0003,2069001001,18,29,20,49,12,1.2348020691424608,1.234651123046875,PASS
switch,switch::dev_0103::2069003000::12,dev_0103,2069003000,12,17,28,45,18,1.6690156739205122,1.668810546875,PASS
switch,switch::dev_0143::2069004001::6,dev_0143,2069004001,6,6,54,60,24,2.8800440300256014,2.87984814453125,PASS
switch,switch::dev_0155::2069005001::18,dev_0155,2069005001,18,29,16,45,12,1.4597525969147682,1.459591064453125,PASS
switch,switch::dev_0246::2069007000::12,dev_0246,2069007000,12,17,28,45,18,2.532699890434742,2.532528076171875,PASS
switch,switch::dev_0001::2069000001::12,dev_0001,2069000001,12,17,28,45,18,1.856117945164442,1.8558214111328124,PASS
switch,switch::dev_0042::2069002000::6,dev_0042,2069002000,6,6,54,60,24,2.8650719337165356,2.8648935546875,PASS
switch,switch::dev_0103::2069003000::18,dev_0103,2069003000,18,29,16,45,12,1.0349232163280249,1.0347301025390625,PASS
switch,switch::dev_0143::2069004001::12,dev_0143,2069004001,12,17,38,55,18,2.0238154996186495,2.023650634765625,PASS
switch,switch::dev_0202::2069006000::6,dev_0202,2069006000,6,6,54,60,24,2.7443494983017445,2.744187744140625,PASS
switch,switch::dev_0246::2069007000::18,dev_0246,2069007000,18,29,16,45,12,1.665934143587947,1.66575634765625,PASS
switch,switch::dev_0001::2069000001::18,dev_0001,2069000001,18,29,16,45,12,1.432286575436592,1.43199072265625,PASS
switch,switch::dev_0042::2069002000::12,dev_0042,2069002000,12,17,38,55,18,2.1252967547625303,2.125064697265625,PASS
switch,switch::dev_0103::2069003001::6,dev_0103,2069003001,6,6,39,45,24,2.1818719562143087,2.181668701171875,PASS
switch,switch::dev_0143::2069004001::18,dev_0143,2069004001,18,29,20,49,12,1.2465494126081467,1.2464058837890626,PASS
switch,switch::dev_0202::2069006000::12,dev_0202,2069006000,12,17,38,55,18,2.1060255635529757,2.10585986328125,PASS
switch,switch::dev_0246::2069007001::6,dev_0246,2069007001,6,6,39,45,24,3.328008010983467,3.32780712890625,PASS
switch,switch::dev_0003::2069001000::6,dev_0003,2069001000,6,6,54,60,24,3.170321511104703,3.170031005859375,PASS
switch,switch::dev_0042::2069002000::18,dev_0042,2069002000,18,29,20,49,12,1.3170779906213284,1.316868896484375,PASS
switch,switch::dev_0103::2069003001::12,dev_0103,2069003001,12,17,28,45,18,1.6289312615990639,1.6287481689453125,PASS
switch,switch::dev_0155::2069005000::6,dev_0155,2069005000,6,6,39,45,24,2.9284279104322195,2.928244873046875,PASS
switch,switch::dev_0202::2069006000::18,dev_0202,2069006000,18,29,20,49,12,1.2243304513394833,1.224181640625,PASS
switch,switch::dev_0246::2069007001::12,dev_0246,2069007001,12,17,28,45,18,2.54523510299623,2.545056396484375,PASS
switch,switch::dev_0003::2069001000::12,dev_0003,2069001000,12,17,38,55,18,2.3416600674390793,2.341412841796875,PASS
switch,switch::dev_0042::2069002001::6,dev_0042,2069002001,6,6,54,60,24,2.858477983623743,2.858272216796875,PASS
switch,switch::dev_0103::2069003001::18,dev_0103,2069003001,18,29,16,45,12,1.0558395888656378,1.055680908203125,PASS
switch,switch::dev_0155::2069005000::12,dev_0155,2069005000,12,17,28,45,18,2.2206136267632246,2.2204365234375,PASS
switch,switch::dev_0202::2069006001::6,dev_0202,2069006001,6,6,54,60,24,2.797581136226654,2.7973525390625,PASS
switch,switch::dev_0246::2069007001::18,dev_0246,2069007001,18,29,16,45,12,1.676097884774208,1.675907470703125,PASS
