replicate,best_static_cqs,oracle_cqs,oracle_headroom,compute_saving,nonstatic_prompt_share
1319,0.7815213192086377,0.935950875338037,0.15442955612939935,0.3515437410234181,1.0
1320,0.8680257940481435,0.9915888973444947,0.12356310329635123,0.40124236719742784,1.0
1321,0.7264110734509143,0.9275435854762436,0.20113251202532934,0.323336980447654,1.0
1322,0.6939167515030444,0.8789881101016116,0.18507135859856716,0.3080145493660409,1.0
1323,0.7306122448979592,0.9306122448979592,0.20000000000000007,0.3273310363106281,1.0
1324,0.7208999552463484,0.9359209080922739,0.21502095284592548,0.3384504140637425,1.0
1325,0.7768881679982054,0.8912912187462253,0.11440305074801993,0.35752874978626875,1.0
1326,0.7300513591381685,0.8797444569710634,0.14969309783289486,0.3353847705595168,1.0
1327,0.6614829100160027,0.926757211439826,0.26527430142382336,0.3061854439516415,1.0
1328,0.7761223482979772,0.921262950172669,0.1451406018746918,0.3566739920168633,1.0
1329,0.581417662815336,0.8656698516771278,0.2842521888617918,0.25911798592004887,1.0
1330,0.6624621101007138,0.921971252566735,0.2595091424660212,0.2972710383388001,1.0
1331,0.6722802978257237,0.9337133520248065,0.2614330541990828,0.3113978599895008,1.0
1332,0.6730455287502268,0.8209686196263378,0.147923090876111,0.3072629982025955,1.0
1333,0.8453483388920978,1.0,0.15465166110790218,0.38193963334174624,1.0
1334,0.8480259999261366,0.9263212320419545,0.0782952321158179,0.3919932045647598,1.0
1335,0.6606691636350605,0.9360226519238006,0.2753534882887402,0.3109540233068485,1.0
1336,0.8254071133435956,0.9361986551081585,0.11079154176456285,0.37409131417881314,1.0
1337,0.7339884784818707,0.9288376821416469,0.1948492036597762,0.33300594197199535,1.0
1338,0.7426998099817738,0.9389227129949199,0.19622290301314615,0.3325142689938905,1.0
1339,0.8484848484848484,1.0,0.1515151515151516,0.3946554908590032,1.0
1340,0.8224509860621131,0.9311780695159332,0.1087270834538201,0.3869984910699733,1.0
1341,0.7103307120542928,0.9230852095227836,0.21275449746849084,0.32463447357339414,1.0
1342,0.7440907658367476,0.9249921210211158,0.18090135518436823,0.33718305016760736,1.0
1343,0.7801980942357208,1.0,0.21980190576427916,0.35640901658530916,1.0
1344,0.8061012039467729,0.9923961256449715,0.1862949216981986,0.3779907338067925,1.0
1345,0.6305136905231594,0.9378600173597412,0.3073463268365818,0.28391246960251926,1.0
1346,0.6734524139569883,0.9376212919323537,0.26416887797536537,0.3113858694673776,1.0
1347,0.806153029096013,0.9402526459542506,0.13409961685823757,0.37357701287370115,1.0
1348,0.7410272740896149,0.9252585044208003,0.18423123033118538,0.3470609171287277,1.0
1349,0.7411232682468812,0.9315921589667925,0.19046889071991124,0.33829306149040944,1.0
1350,0.5837068797505359,0.8772169167803547,0.2935100370298188,0.26559238851189737,1.0
1351,0.7591567291311755,0.8971465076660988,0.13798977853492334,0.3566110422796964,1.0
1352,0.7276492653954362,0.8153719912472649,0.08772272585182872,0.31515885646082586,1.0
1353,0.5602662290299052,0.8774617067833699,0.3171954777534647,0.257419103507725,1.0
1354,0.8259532249291996,0.9921228830248129,0.16616965809561324,0.3848474618462803,1.0
1355,0.6819089267040592,0.8722312006844757,0.19032227398041646,0.29825769819115194,1.0
1356,0.8884734399174833,1.0,0.11152656008251671,0.40891258045719114,1.0
1357,0.8288118098428341,1.0,0.1711881901571659,0.3862799809495819,1.0
1358,0.6601912731619844,0.9372384937238494,0.2770472205618649,0.29158017714503076,1.0
1359,0.8553232728783055,0.9916932022705247,0.13636992939221926,0.3995659608285941,1.0
1360,0.7395593829689394,0.9166004765687054,0.17704109359976594,0.3341738525677324,1.0
1361,0.6885448328267477,0.9321808510638298,0.24363601823708203,0.30881718016026527,1.0
1362,0.5618531584384198,0.8158146061940865,0.25396144775566676,0.25934526034902206,1.0
1363,0.6840122486804464,0.9196180345702889,0.2356057858898425,0.31905450003479746,1.0
1364,0.7571091263730623,0.9353249153064367,0.17821578893337442,0.34396412539313675,1.0
1365,0.8084455996485576,0.9423414848440475,0.1338958851954899,0.3636538359136836,1.0
1366,0.73491530567727,0.9840664656006374,0.24915115992336734,0.35198281109622376,1.0
1367,0.7208103463869041,0.9924030026227729,0.2715926562358688,0.3322633954631783,1.0
1368,0.6432778388566044,0.8763153761583163,0.23303753730171195,0.3000503305395719,1.0
1369,0.7169884999121385,0.9220961790030654,0.20510767909092686,0.32345971774286586,1.0
1370,0.6269760377320782,0.9286527969302716,0.30167675919819337,0.28864095115069394,1.0
1371,0.6709544045021247,0.9236246698059033,0.25267026530377856,0.3102519394009,1.0
1372,0.6376308692893401,0.9125555203045685,0.27492465101522845,0.2945883926511306,1.0
1373,0.5740332332027833,0.880223582645728,0.30619034944294465,0.2606312372748359,1.0
1374,0.7313361864003805,0.9088259008869317,0.17748971448655126,0.33874626686138193,1.0
1375,0.7875953454707422,0.9766160013362285,0.18902065586548633,0.35824589641192284,1.0
1376,0.6432984261378599,0.9744779112398468,0.3311794851019869,0.28982578320219354,1.0
1377,0.7283255985872109,0.9008172820239024,0.17249168343669152,0.3291753628112411,1.0
1378,0.7590950090198437,0.9250225496091401,0.16592754058929637,0.3512853277209862,1.0
1379,0.7835493438426847,0.9360094259131353,0.1524600820704506,0.3622559031997134,1.0
1380,0.839110057242363,1.0,0.16088994275763702,0.38400043112812415,1.0
1381,0.761517339570833,0.9273873690633582,0.16587002949252516,0.3459889241237762,1.0
1382,0.645968106651985,0.8141848713058183,0.16821676465383328,0.28426943998055154,1.0
1383,0.7363056553505832,1.0,0.26369434464941677,0.3384907689089661,1.0
1384,0.7334715672422335,0.9421986531368699,0.2087270858946364,0.3308739263378968,1.0
1385,0.6639079923845048,0.8694486536892411,0.20554066130473625,0.31219821480924176,1.0
1386,0.6266200788201357,0.92747734936822,0.3008572705480843,0.2915809457677576,1.0
