replicate,best_static_cqs,promptonly_policy_cqs,promptstate_policy_cqs,state_incremental_value,crossfit_nonstatic_share
261,0.7776344422292586,0.7847197790026451,0.7847197790026451,0.0,0.10685339379487381
262,0.7721660070317728,0.7835715167703236,0.7835715167703236,0.0,0.06656138503831081
263,0.8508986597632339,0.8551458889518109,0.8551458889518109,0.0,0.07933891540598118
264,0.6652392884301334,0.6710360646745702,0.6710360646745702,0.0,0.14358240771906203
265,0.7887785260339855,0.7936648957278322,0.7936648957278322,0.0,0.05622582727719635
266,0.766686030328335,0.7777142407629282,0.7777142407629282,0.0,0.0774122886637863
267,0.8874441984538889,0.8950658730446776,0.8950658730446776,0.0,0.10057888433201467
268,0.752789080863816,0.752789080863816,0.752789080863816,0.0,0.08963406406896894
269,0.8100659672548084,0.8142385948179939,0.8142385948179939,0.0,0.15629470672389129
270,0.7718459160376931,0.7774242159659028,0.7774242159659028,0.0,0.08941772250140671
271,0.8711268415038976,0.8791892312164913,0.8791892312164913,0.0,0.0927901615182308
272,0.7288266887006817,0.7388452799008469,0.7388452799008469,0.0,0.1017007505336363
273,0.7866221442873309,0.7959028218234278,0.7959028218234278,0.0,0.05887089753634543
274,0.6965411596089491,0.700239311519168,0.700239311519168,0.0,0.10565537826341359
275,0.678099345588905,0.6882472711187437,0.6882472711187437,0.0,0.13332487672872512
276,0.8360340254867714,0.8437479785238372,0.8437479785238372,0.0,0.09850249045863252
277,0.8303308452693161,0.8365846277990721,0.8365846277990721,0.0,0.12818236836796448
278,0.7871833751287883,0.7989930211310045,0.7989930211310045,0.0,0.1431186537327553
279,0.8907408422732725,0.8998330805173285,0.8998330805173285,0.0,0.11093444450536395
280,0.7363238366001295,0.7462843947918126,0.7462843947918126,0.0,0.11846891037833436
281,0.6964535942063149,0.712512604931966,0.712512604931966,0.0,0.1518026689715685
282,0.7380522396595212,0.747443098020094,0.747443098020094,0.0,0.15123495807222534
283,0.7909423028470647,0.8087447454615374,0.8087447454615374,0.0,0.12909920303404013
284,0.7986212547650433,0.8053012219886708,0.8053012219886708,0.0,0.10693885306447208
285,0.8095009346038716,0.81146164202711,0.81146164202711,0.0,0.09514332771263871
286,0.7761683192082572,0.7926937351132777,0.7926937351132777,0.0,0.1423001409430258
287,0.714226976599108,0.7224148075682494,0.7224148075682494,0.0,0.10944046277195293
288,0.7756317770553193,0.7773150196538611,0.7773150196538611,0.0,0.037480201860864766
289,0.8360624157195146,0.8401078790213832,0.8401078790213832,0.0,0.06893341038977717
290,0.706407266709294,0.7143058637680069,0.7143058637680069,0.0,0.10545567382555383
291,0.8626950222882614,0.8737462852897474,0.8737462852897474,0.0,0.15992137196631995
292,0.6915917843388959,0.6972767284063817,0.6972767284063817,0.0,0.18989547038327526
293,0.8129368176716661,0.8269022293643506,0.8269022293643506,0.0,0.16325183654729108
294,0.6841449128280302,0.6876687527799181,0.6876687527799181,0.0,0.10626648374021938
