prompt_id,stratum,design_weight,checkpoint_step,fold,tier,direction,source_root,target_root,selected_action,selected_predicted_value,all_action_values,target_program_cqs,target_program_nfe
dev_0074,high_risk_instrumental,4.0,6,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.6351772143676652,"{""CONTINUE"": 0.1567388005924794, ""FORK_LATENT"": 0.14871173111088076, ""RESTART_BASE"": 0.22642918560412323, ""RESTART_CONDITIONED"": 0.6351772143676652, ""SWITCH_CONDITION"": 0.4919446780029389}",0,90
dev_0074,high_risk_instrumental,4.0,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.6820373815224926,"{""CONTINUE"": 0.14288394493141368, ""FORK_LATENT"": 0.13539595884348715, ""RESTART_BASE"": 0.22120048382542135, ""RESTART_CONDITIONED"": 0.6820373815224926, ""SWITCH_CONDITION"": 0.41892001618349767}",0,90
dev_0074,high_risk_instrumental,4.0,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.6851587542463152,"{""CONTINUE"": 0.14449240066637176, ""FORK_LATENT"": 0.14154987820782322, ""RESTART_BASE"": 0.2626139244715738, ""RESTART_CONDITIONED"": 0.6851587542463152, ""SWITCH_CONDITION"": 0.3498707364620901}",0,90
dev_0080,medium_risk_instrumental,2.4,6,0,promptstate,root_a_to_b,0,1,SWITCH_CONDITION,0.8364543753197965,"{""CONTINUE"": 0.6620189774719059, ""FORK_LATENT"": 0.6738569584546426, ""RESTART_BASE"": 0.7261043650687707, ""RESTART_CONDITIONED"": 0.8168712356155993, ""SWITCH_CONDITION"": 0.8364543753197965}",1,84
dev_0080,medium_risk_instrumental,2.4,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.8260895981995917,"{""CONTINUE"": 0.6473006063506006, ""FORK_LATENT"": 0.6628355447971144, ""RESTART_BASE"": 0.7458656463543986, ""RESTART_CONDITIONED"": 0.8260895981995917, ""SWITCH_CONDITION"": 0.787572157599021}",1,90
dev_0080,medium_risk_instrumental,2.4,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.8587051385912082,"{""CONTINUE"": 0.6250777879694737, ""FORK_LATENT"": 0.6555381836161425, ""RESTART_BASE"": 0.7368840739739857, ""RESTART_CONDITIONED"": 0.8587051385912082, ""SWITCH_CONDITION"": 0.7475324249934684}",1,90
dev_0217,vocal_request,13.0,6,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.8868530030568552,"{""CONTINUE"": 0.8468919263951679, ""FORK_LATENT"": 0.841132277811556, ""RESTART_BASE"": 0.8868530030568552}",0,90
dev_0217,vocal_request,13.0,12,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.9109126532344431,"{""CONTINUE"": 0.8511947002133445, ""FORK_LATENT"": 0.8473783222098995, ""RESTART_BASE"": 0.9109126532344431, ""SWITCH_CONDITION"": 0.8593057165457275}",1,90
dev_0217,vocal_request,13.0,18,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.9221863527923374,"{""CONTINUE"": 0.8510618999481451, ""FORK_LATENT"": 0.8474091143286677, ""RESTART_BASE"": 0.9221863527923374, ""SWITCH_CONDITION"": 0.8228757683272631}",0,90
dev_0254,high_risk_instrumental,2.3333333333333335,6,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.707140931281745,"{""CONTINUE"": 0.14150919738933082, ""FORK_LATENT"": 0.15370542958773722, ""RESTART_BASE"": 0.164614814961485, ""RESTART_CONDITIONED"": 0.707140931281745, ""SWITCH_CONDITION"": 0.5648586126058146}",1,90
