unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_06_3_1,6,held_out_0253,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000601,60,live_ledgers/live_w{worker}.jsonl
w2live_07_0_0,7,held_out_0088,instrumental_risk,0,0,no_probe_reseed,0,2035000700,60,live_ledgers/live_w{worker}.jsonl
w2live_07_0_1,7,held_out_0088,instrumental_risk,0,0,no_probe_reseed,1,2035000701,60,live_ledgers/live_w{worker}.jsonl
w2live_07_1_0,7,held_out_0088,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000700,60,live_ledgers/live_w{worker}.jsonl
w2live_07_1_1,7,held_out_0088,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000701,60,live_ledgers/live_w{worker}.jsonl
w2live_07_2_0,7,held_out_0088,instrumental_risk,0,2,always_direction_condition,0,2035000700,60,live_ledgers/live_w{worker}.jsonl
w2live_07_2_1,7,held_out_0088,instrumental_risk,0,2,always_direction_condition,1,2035000701,60,live_ledgers/live_w{worker}.jsonl
w2live_07_3_0,7,held_out_0088,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000700,60,live_ledgers/live_w{worker}.jsonl
w2live_07_3_1,7,held_out_0088,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000701,60,live_ledgers/live_w{worker}.jsonl
w2live_08_0_0,8,held_out_0040,instrumental_risk,0,0,no_probe_reseed,0,2035000800,60,live_ledgers/live_w{worker}.jsonl
w2live_08_0_1,8,held_out_0040,instrumental_risk,0,0,no_probe_reseed,1,2035000801,60,live_ledgers/live_w{worker}.jsonl
w2live_08_1_0,8,held_out_0040,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000800,60,live_ledgers/live_w{worker}.jsonl
w2live_08_1_1,8,held_out_0040,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000801,60,live_ledgers/live_w{worker}.jsonl
w2live_08_2_0,8,held_out_0040,instrumental_risk,0,2,always_direction_condition,0,2035000800,60,live_ledgers/live_w{worker}.jsonl
w2live_08_2_1,8,held_out_0040,instrumental_risk,0,2,always_direction_condition,1,2035000801,60,live_ledgers/live_w{worker}.jsonl
w2live_08_3_0,8,held_out_0040,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000800,60,live_ledgers/live_w{worker}.jsonl
w2live_08_3_1,8,held_out_0040,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000801,60,live_ledgers/live_w{worker}.jsonl
w2live_09_0_0,9,held_out_0059,instrumental_risk,0,0,no_probe_reseed,0,2035000900,60,live_ledgers/live_w{worker}.jsonl
w2live_09_0_1,9,held_out_0059,instrumental_risk,0,0,no_probe_reseed,1,2035000901,60,live_ledgers/live_w{worker}.jsonl
w2live_09_1_0,9,held_out_0059,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000900,60,live_ledgers/live_w{worker}.jsonl
w2live_09_1_1,9,held_out_0059,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000901,60,live_ledgers/live_w{worker}.jsonl
w2live_09_2_0,9,held_out_0059,instrumental_risk,0,2,always_direction_condition,0,2035000900,60,live_ledgers/live_w{worker}.jsonl
w2live_09_2_1,9,held_out_0059,instrumental_risk,0,2,always_direction_condition,1,2035000901,60,live_ledgers/live_w{worker}.jsonl
w2live_09_3_0,9,held_out_0059,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000900,60,live_ledgers/live_w{worker}.jsonl
w2live_09_3_1,9,held_out_0059,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000901,60,live_ledgers/live_w{worker}.jsonl
w2live_10_0_0,10,held_out_0046,instrumental_risk,0,0,no_probe_reseed,0,2035001000,60,live_ledgers/live_w{worker}.jsonl
w2live_10_0_1,10,held_out_0046,instrumental_risk,0,0,no_probe_reseed,1,2035001001,60,live_ledgers/live_w{worker}.jsonl
w2live_10_1_0,10,held_out_0046,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001000,60,live_ledgers/live_w{worker}.jsonl
w2live_10_1_1,10,held_out_0046,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001001,60,live_ledgers/live_w{worker}.jsonl
w2live_10_2_0,10,held_out_0046,instrumental_risk,0,2,always_direction_condition,0,2035001000,60,live_ledgers/live_w{worker}.jsonl
w2live_10_2_1,10,held_out_0046,instrumental_risk,0,2,always_direction_condition,1,2035001001,60,live_ledgers/live_w{worker}.jsonl
w2live_10_3_0,10,held_out_0046,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001000,60,live_ledgers/live_w{worker}.jsonl
w2live_10_3_1,10,held_out_0046,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001001,60,live_ledgers/live_w{worker}.jsonl
w2live_11_0_0,11,held_out_0222,instrumental_risk,0,0,no_probe_reseed,0,2035001100,60,live_ledgers/live_w{worker}.jsonl
w2live_11_0_1,11,held_out_0222,instrumental_risk,0,0,no_probe_reseed,1,2035001101,60,live_ledgers/live_w{worker}.jsonl
w2live_11_1_0,11,held_out_0222,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001100,60,live_ledgers/live_w{worker}.jsonl
w2live_11_1_1,11,held_out_0222,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001101,60,live_ledgers/live_w{worker}.jsonl
w2live_11_2_0,11,held_out_0222,instrumental_risk,0,2,always_direction_condition,0,2035001100,60,live_ledgers/live_w{worker}.jsonl
w2live_11_2_1,11,held_out_0222,instrumental_risk,0,2,always_direction_condition,1,2035001101,60,live_ledgers/live_w{worker}.jsonl
w2live_11_3_0,11,held_out_0222,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001100,60,live_ledgers/live_w{worker}.jsonl
w2live_11_3_1,11,held_out_0222,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001101,60,live_ledgers/live_w{worker}.jsonl
