task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,inference_steps,neutral_insertion,neutral_full_text_sha256,generation_config_sha256,output_path
neutral_control_03_06,3,held_out_0190,neutral_matched,6,2071003006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s06_2071003006.flac
neutral_control_03_07,3,held_out_0190,neutral_matched,7,2071003007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s07_2071003007.flac
neutral_control_04_00,4,held_out_0041,neutral_matched,0,2071004000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s00_2071004000.flac
neutral_control_04_01,4,held_out_0041,neutral_matched,1,2071004001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s01_2071004001.flac
neutral_control_04_02,4,held_out_0041,neutral_matched,2,2071004002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s02_2071004002.flac
neutral_control_04_03,4,held_out_0041,neutral_matched,3,2071004003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s03_2071004003.flac
neutral_control_04_04,4,held_out_0041,neutral_matched,4,2071004004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s04_2071004004.flac
neutral_control_04_05,4,held_out_0041,neutral_matched,5,2071004005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s05_2071004005.flac
neutral_control_04_06,4,held_out_0041,neutral_matched,6,2071004006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s06_2071004006.flac
neutral_control_04_07,4,held_out_0041,neutral_matched,7,2071004007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",a302ec7aaed8166adefb57b47da861dcebaea981575adb2c23aca354c0949119,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s07_2071004007.flac
