legacy_packet,legacy_row_id,classification,pre_amendment,primary_gate_eligible
spotcheck,96b711e3a7,LEGACY_NON_PRIMARY,true,false
spotcheck,109a31f696,LEGACY_NON_PRIMARY,true,false
spotcheck,f07dd75551,LEGACY_NON_PRIMARY,true,false
spotcheck,cb09c10e69,LEGACY_NON_PRIMARY,true,false
spotcheck,8267b168f0,LEGACY_NON_PRIMARY,true,false
spotcheck,393f2d6019,LEGACY_NON_PRIMARY,true,false
spotcheck,7083396553,LEGACY_NON_PRIMARY,true,false
spotcheck,a1a793502b,LEGACY_NON_PRIMARY,true,false
spotcheck,27bbfbd27c,LEGACY_NON_PRIMARY,true,false
spotcheck,760b82308f,LEGACY_NON_PRIMARY,true,false
spotcheck,3954e24faa,LEGACY_NON_PRIMARY,true,false
spotcheck,5f538942f7,LEGACY_NON_PRIMARY,true,false
spotcheck,02a0495b02,LEGACY_NON_PRIMARY,true,false
spotcheck,c0461169c3,LEGACY_NON_PRIMARY,true,false
quality_AB,06f4701ac6,LEGACY_NON_PRIMARY,true,false
quality_AB,0c400857a4,LEGACY_NON_PRIMARY,true,false
quality_AB,15c5ab12b4,LEGACY_NON_PRIMARY,true,false
quality_AB,1afed822a5,LEGACY_NON_PRIMARY,true,false
quality_AB,1bcc08bf50,LEGACY_NON_PRIMARY,true,false
quality_AB,4330d3ef21,LEGACY_NON_PRIMARY,true,false
quality_AB,559e9c07d6,LEGACY_NON_PRIMARY,true,false
quality_AB,58d566feba,LEGACY_NON_PRIMARY,true,false
quality_AB,59691e99aa,LEGACY_NON_PRIMARY,true,false
quality_AB,5c3837be9b,LEGACY_NON_PRIMARY,true,false
quality_AB,5f883dad0b,LEGACY_NON_PRIMARY,true,false
quality_AB,775110280c,LEGACY_NON_PRIMARY,true,false
quality_AB,79cd69caa5,LEGACY_NON_PRIMARY,true,false
quality_AB,7c68b8be11,LEGACY_NON_PRIMARY,true,false
quality_AB,7d5f199c74,LEGACY_NON_PRIMARY,true,false
quality_AB,966bfff564,LEGACY_NON_PRIMARY,true,false
quality_AB,0452678119,LEGACY_NON_PRIMARY,true,false
quality_AB,0d73d4c967,LEGACY_NON_PRIMARY,true,false
quality_AB,0dc621676d,LEGACY_NON_PRIMARY,true,false
quality_AB,0edf418c90,LEGACY_NON_PRIMARY,true,false
quality_AB,0ee6281212,LEGACY_NON_PRIMARY,true,false
quality_AB,1dec4ff807,LEGACY_NON_PRIMARY,true,false
quality_AB,1f45861ddf,LEGACY_NON_PRIMARY,true,false
quality_AB,23a4428f3b,LEGACY_NON_PRIMARY,true,false
quality_AB,369f221eb7,LEGACY_NON_PRIMARY,true,false
quality_AB,37f3136689,LEGACY_NON_PRIMARY,true,false
quality_AB,3a3a027580,LEGACY_NON_PRIMARY,true,false
quality_AB,45f9308b5c,LEGACY_NON_PRIMARY,true,false
quality_AB,469135185c,LEGACY_NON_PRIMARY,true,false
quality_AB,0964546740,LEGACY_NON_PRIMARY,true,false
quality_AB,39cdd7883c,LEGACY_NON_PRIMARY,true,false
quality_AB,4cf922879e,LEGACY_NON_PRIMARY,true,false
quality_AB,4d52fdb395,LEGACY_NON_PRIMARY,true,false
quality_AB,52a3395873,LEGACY_NON_PRIMARY,true,false
quality_AB,5a1a9b570b,LEGACY_NON_PRIMARY,true,false
quality_AB,610e49ae0e,LEGACY_NON_PRIMARY,true,false
quality_AB,658a086f98,LEGACY_NON_PRIMARY,true,false
quality_AB,7cd6073fb3,LEGACY_NON_PRIMARY,true,false
quality_AB,a2b5e83a7b,LEGACY_NON_PRIMARY,true,false
quality_AB,ab9bad400f,LEGACY_NON_PRIMARY,true,false
quality_AB,069de95daf,LEGACY_NON_PRIMARY,true,false
quality_AB,0ed5ee6322,LEGACY_NON_PRIMARY,true,false
quality_AB,12b92c7484,LEGACY_NON_PRIMARY,true,false
quality_AB,14439f519a,LEGACY_NON_PRIMARY,true,false
quality_AB,1b2e1ef1e1,LEGACY_NON_PRIMARY,true,false
quality_AB,1bfaec2e1a,LEGACY_NON_PRIMARY,true,false
quality_AB,28c0b8d178,LEGACY_NON_PRIMARY,true,false
quality_AB,312449388f,LEGACY_NON_PRIMARY,true,false
quality_AB,35461ee581,LEGACY_NON_PRIMARY,true,false
quality_AB,377c6103fb,LEGACY_NON_PRIMARY,true,false
quality_AB,37ddd7508b,LEGACY_NON_PRIMARY,true,false
quality_AB,3a75fafe4a,LEGACY_NON_PRIMARY,true,false
quality_AB,65b7dc1f0c,LEGACY_NON_PRIMARY,true,false
quality_AB,68917e9ad4,LEGACY_NON_PRIMARY,true,false
quality_AB,7785d4d1e3,LEGACY_NON_PRIMARY,true,false
quality_AB,8ca6dff588,LEGACY_NON_PRIMARY,true,false
quality_AB,192439394a,LEGACY_NON_PRIMARY,true,false
quality_AB,1b56e856e6,LEGACY_NON_PRIMARY,true,false
quality_AB,1de7136439,LEGACY_NON_PRIMARY,true,false
quality_AB,2286127a28,LEGACY_NON_PRIMARY,true,false
quality_AB,264728786f,LEGACY_NON_PRIMARY,true,false
quality_AB,2b1b642d29,LEGACY_NON_PRIMARY,true,false
quality_AB,3a80d5e5d6,LEGACY_NON_PRIMARY,true,false
quality_AB,4b0b74e60f,LEGACY_NON_PRIMARY,true,false
quality_AB,4c5a75414f,LEGACY_NON_PRIMARY,true,false
quality_AB,4c7a1ff29e,LEGACY_NON_PRIMARY,true,false
quality_AB,4dd84edc4d,LEGACY_NON_PRIMARY,true,false
quality_AB,74e77a5d91,LEGACY_NON_PRIMARY,true,false
quality_AB,8d9b963d6e,LEGACY_NON_PRIMARY,true,false
quality_AB,0e929f6df2,LEGACY_NON_PRIMARY,true,false
quality_AB,3e11db4efe,LEGACY_NON_PRIMARY,true,false
quality_AB,3f73378469,LEGACY_NON_PRIMARY,true,false
quality_AB,48ee6761b0,LEGACY_NON_PRIMARY,true,false
quality_AB,517b7a7682,LEGACY_NON_PRIMARY,true,false
quality_AB,5c95b4856b,LEGACY_NON_PRIMARY,true,false
quality_AB,6ebb11813a,LEGACY_NON_PRIMARY,true,false
quality_AB,819e7fb30f,LEGACY_NON_PRIMARY,true,false
quality_AB,8dcd41f95c,LEGACY_NON_PRIMARY,true,false
quality_AB,aaafe53dd7,LEGACY_NON_PRIMARY,true,false
quality_AB,ab23d83c0f,LEGACY_NON_PRIMARY,true,false
