legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
adjudication,c95376a3eb,original,no,aprime_0280_d7a50f490b4f,,no,LEGACY_NON_PRIMARY
adjudication,c9c7da8014,original,no,aprime_0293_02e92a28b5e8,,no,LEGACY_NON_PRIMARY
adjudication,cb1a090c71,original,no,aprime_0586_b4d59b9dd370,decisive_42_1108911c47cd,no,LEGACY_NON_PRIMARY
adjudication,cb56b9b272,original,no,aprime_0385_c0d11033eab8,,no,LEGACY_NON_PRIMARY
adjudication,cd6b274756,original,no,aprime_0013_787b3b17faad,,no,LEGACY_NON_PRIMARY
adjudication,cf985bf858,original,no,aprime_0223_801655f5e5e8,,no,LEGACY_NON_PRIMARY
adjudication,cfb936d14b,original,no,aprime_0156_48ce3ea0918f,,no,LEGACY_NON_PRIMARY
adjudication,cfd7e08376,original,no,aprime_0018_39e73630f43c,,no,LEGACY_NON_PRIMARY
adjudication,d51b3f1e9a,original,no,aprime_0117_d5f69168ea1c,,no,LEGACY_NON_PRIMARY
adjudication,d5c877d981,original,no,aprime_0110_2e424726f7ec,,no,LEGACY_NON_PRIMARY
adjudication,d5de275976,original,no,aprime_0250_e8b755a84a0d,,no,LEGACY_NON_PRIMARY
adjudication,d7a9a10b56,original,no,aprime_0606_418aa78713d9,,no,LEGACY_NON_PRIMARY
adjudication,d8ebcccbe8,original,no,aprime_0153_10b8552cf5af,,no,LEGACY_NON_PRIMARY
adjudication,e0c37d70f7,original,no,aprime_0004_135d175c5132,,no,LEGACY_NON_PRIMARY
adjudication,e29f8613a5,original,no,aprime_0548_94fe5343553d,,no,LEGACY_NON_PRIMARY
adjudication,e8bde3e094,original,no,aprime_0470_d418f7dcf6a8,decisive_15_cc2eb6bbefa7,no,LEGACY_NON_PRIMARY
adjudication,e97663c199,original,no,aprime_0552_bcf31e098af0,,no,LEGACY_NON_PRIMARY
