source_path,prompt_id,arm,rep,attempt,seed,requested_vocal,type_correct,prompt_vocal_stratum,clap_score,status,error,elapsed_s,device
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r2_t04_seed2026326204.flac,held_out_0008,6,2,4,2026326204,1,1,vocal,0.12251634895801544,ok,,0.397,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r2_t05_seed2026326205.flac,held_out_0008,6,2,5,2026326205,1,1,vocal,0.1385500729084015,ok,,0.412,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a1_r0_t04_seed2026327004.flac,held_out_0009,1,0,4,2026327004,0,1,instrumental,0.5667134523391724,ok,,0.288,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a1_r1_t03_seed2026327103.flac,held_out_0009,1,1,3,2026327103,0,1,instrumental,0.6016314029693604,ok,,0.246,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a6_r0_t04_seed2026327004.flac,held_out_0009,6,0,4,2026327004,0,1,instrumental,0.6151739954948425,ok,,0.271,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0009/a6_r1_t03_seed2026327103.flac,held_out_0009,6,1,3,2026327103,0,1,instrumental,0.6100122928619385,ok,,0.24,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a1_r0_t04_seed2026328004.flac,held_out_0010,1,0,4,2026328004,0,1,instrumental,0.5886073112487793,ok,,0.195,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a1_r1_t03_seed2026328103.flac,held_out_0010,1,1,3,2026328103,0,1,instrumental,0.5355731844902039,ok,,0.192,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a6_r0_t04_seed2026328004.flac,held_out_0010,6,0,4,2026328004,0,1,instrumental,0.6166624426841736,ok,,0.219,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a6_r1_t03_seed2026328103.flac,held_out_0010,6,1,3,2026328103,0,1,instrumental,0.4944184124469757,ok,,0.177,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a1_r0_t03_seed2026329003.flac,held_out_0011,1,0,3,2026329003,1,1,vocal,0.08553804457187653,ok,,0.499,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a1_r1_t02_seed2026329102.flac,held_out_0011,1,1,2,2026329102,1,1,vocal,0.028682667762041092,ok,,0.407,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a6_r0_t05_seed2026329005.flac,held_out_0011,6,0,5,2026329005,1,1,vocal,0.18145862221717834,ok,,0.438,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a6_r1_t02_seed2026329102.flac,held_out_0011,6,1,2,2026329102,1,1,vocal,0.061343662440776825,ok,,0.388,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a1_r0_t04_seed2026330004.flac,held_out_0012,1,0,4,2026330004,1,1,vocal,0.4096890389919281,ok,,0.34,cuda
