task_id,prompt_id,condition,seed_idx,seed,output_path,apparent_violation,candidate_violation,implementation_role,requested_vocal,demucs_score,panns_score,near_silent,design_weight,corrected_present,corrected_violation,calibrated_violation_probability,calibrated_satisfaction_probability,instrument_status
w2fact_26_0_07,held_out_0031,plain_baseline,7,2034026007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s07_2034026007.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.09334056079387665,0.18792203068733215,0,1.0,1,1,0.9631455738951886,0.03685442610481138,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_08,held_out_0031,plain_baseline,8,2034026008,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s08_2034026008.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.034398991614580154,0.48002973198890686,0,1.0,1,1,0.9950205747625946,0.004979425237405355,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_09,held_out_0031,plain_baseline,9,2034026009,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s09_2034026009.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.15974605083465576,0.44659706950187683,0,1.0,1,1,0.9993568598400273,0.0006431401599726883,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_10,held_out_0031,plain_baseline,10,2034026010,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s10_2034026010.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.05780721828341484,0.45750516653060913,0,1.0,1,1,0.9971085665067898,0.0028914334932101937,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_11,held_out_0031,plain_baseline,11,2034026011,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s11_2034026011.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.25999343395233154,0.36492258310317993,0,1.0,1,1,0.999361174737954,0.00063882526204595,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_12,held_out_0031,plain_baseline,12,2034026012,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s12_2034026012.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.008041609078645706,0.22984915971755981,0,1.0,1,1,0.5694050874587206,0.43059491254127935,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_13,held_out_0031,plain_baseline,13,2034026013,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s13_2034026013.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.003962516784667969,0.15871132910251617,0,1.0,1,1,0.12818988614377283,0.8718101138562272,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_14,held_out_0031,plain_baseline,14,2034026014,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s14_2034026014.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.09596917033195496,0.03059549815952778,0,1.0,1,1,0.14081891670779595,0.859181083292204,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_15,held_out_0031,plain_baseline,15,2034026015,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s15_2034026015.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,2.483821845089551e-06,0.024295242503285408,0,1.0,0,0,2.1052679748123385e-08,0.9999999789473203,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_00,held_out_0040,plain_baseline,0,2034008000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s00_2034008000.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.2460046410560608,0.07401667535305023,0,1.0,1,1,0.8988390975954073,0.10116090240459275,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_01,held_out_0040,plain_baseline,1,2034008001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s01_2034008001.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.5261262059211731,0.133818119764328,0,1.0,1,1,0.9964204335662155,0.0035795664337845423,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_02,held_out_0040,plain_baseline,2,2034008002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s02_2034008002.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.8010863065719604,0.18941600620746613,0,1.0,1,1,0.9998036414324095,0.0001963585675904822,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_03,held_out_0040,plain_baseline,3,2034008003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s03_2034008003.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.08132967352867126,0.07440841943025589,0,1.0,1,1,0.5823446648845901,0.41765533511540986,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_04,held_out_0040,plain_baseline,4,2034008004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s04_2034008004.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.11002787947654724,0.06808830797672272,0,1.0,1,1,0.6375904217220923,0.36240957827790765,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_05,held_out_0040,plain_baseline,5,2034008005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s05_2034008005.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.9684410691261292,0.5105473399162292,0,1.0,1,1,0.9999979964255106,2.0035744894286722e-06,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
