prompt_id,prompt_index,vocal_stratum,selection_bin,baseline_violation_count_8,baseline_clean_rate_8,rows,ok,errors,clean_count,clean_rate,present_rate,regime
held_out_0105,105,instrumental,1,1,0.875,128,128,0,114,0.890625,0.109375,easy_ge_1_in_2
held_out_0106,106,vocal,0,0,1.0,128,128,0,107,0.8359375,0.8359375,easy_ge_1_in_2
held_out_0109,109,instrumental,1,1,0.875,128,128,0,114,0.890625,0.109375,easy_ge_1_in_2
held_out_0110,110,vocal,2,2,0.75,128,128,0,77,0.6015625,0.6015625,easy_ge_1_in_2
held_out_0112,112,vocal,0,0,1.0,128,128,0,90,0.703125,0.703125,easy_ge_1_in_2
held_out_0117,117,instrumental,7,7,0.125,128,128,0,35,0.2734375,0.7265625,seed_recoverable_1_in_4_to_1_in_2
held_out_0118,118,instrumental,0,0,1.0,128,128,0,125,0.9765625,0.0234375,easy_ge_1_in_2
held_out_0119,119,vocal,5,5,0.375,128,128,0,14,0.109375,0.109375,low_1_in_16_to_1_in_4
held_out_0120,120,vocal,1,1,0.875,128,128,0,56,0.4375,0.4375,seed_recoverable_1_in_4_to_1_in_2
held_out_0123,123,vocal,0,0,1.0,128,128,0,71,0.5546875,0.5546875,easy_ge_1_in_2
held_out_0124,124,instrumental,0,0,1.0,128,128,0,106,0.828125,0.171875,easy_ge_1_in_2
held_out_0126,126,vocal,0,0,1.0,128,128,0,70,0.546875,0.546875,easy_ge_1_in_2
held_out_0129,129,instrumental,0,0,1.0,128,128,0,125,0.9765625,0.0234375,easy_ge_1_in_2
held_out_0130,130,instrumental,1,1,0.875,128,128,0,91,0.7109375,0.2890625,easy_ge_1_in_2
held_out_0132,132,instrumental,0,0,1.0,128,128,0,124,0.96875,0.03125,easy_ge_1_in_2
held_out_0137,137,instrumental,0,0,1.0,128,128,0,122,0.953125,0.046875,easy_ge_1_in_2
held_out_0138,138,vocal,0,0,1.0,128,128,0,67,0.5234375,0.5234375,easy_ge_1_in_2
held_out_0140,140,instrumental,3,3,0.625,128,128,0,102,0.796875,0.203125,easy_ge_1_in_2
held_out_0141,141,vocal,1,1,0.875,128,128,0,64,0.5,0.5,easy_ge_1_in_2
held_out_0142,142,vocal,5,5,0.375,128,128,0,9,0.0703125,0.0703125,low_1_in_16_to_1_in_4
held_out_0143,143,vocal,2,2,0.75,128,128,0,24,0.1875,0.1875,low_1_in_16_to_1_in_4
held_out_0146,146,instrumental,1,1,0.875,128,128,0,115,0.8984375,0.1015625,easy_ge_1_in_2
held_out_0148,148,vocal,0,0,1.0,128,128,0,79,0.6171875,0.6171875,easy_ge_1_in_2
held_out_0150,150,vocal,0,0,1.0,128,128,0,107,0.8359375,0.8359375,easy_ge_1_in_2
held_out_0151,151,instrumental,0,0,1.0,128,128,0,126,0.984375,0.015625,easy_ge_1_in_2
held_out_0152,152,vocal,4,4,0.5,128,128,0,14,0.109375,0.109375,low_1_in_16_to_1_in_4
held_out_0156,156,instrumental,4,4,0.5,128,128,0,50,0.390625,0.609375,seed_recoverable_1_in_4_to_1_in_2
held_out_0159,159,vocal,1,1,0.875,128,128,0,62,0.484375,0.484375,seed_recoverable_1_in_4_to_1_in_2
